block_id,section_id,start_time,end_time,duration_hours,task_count,task_ids,departments,resource_requirements
BLK00048,SEC002,2025-08-16 06:00,2025-08-16 16:45,10.75,1,TRC1247,Traction,none
BLK00049,SEC002,2025-09-11 06:00,2025-09-11 10:30,4.5,1,ENG2925,Engineering,track
BLK00050,SEC002,2025-09-19 04:45,2025-09-19 18:29,13.73,3,TRC1350;ENG1625;TRC2326,Engineering;Traction,power;track
BLK00051,SEC002,2025-10-05 06:00,2025-10-05 11:45,5.75,1,ENG2366,Engineering,track
BLK00052,SEC002,2025-10-06 06:00,2025-10-06 14:45,8.75,1,SIG1261,Signalling,signal
BLK00053,SEC002,2025-10-12 06:00,2025-10-12 15:30,9.5,1,ENG2653,Engineering,track
BLK00054,SEC002,2025-10-25 06:00,2025-10-25 09:45,3.75,1,ENG1552,Engineering,track
BLK00055,SEC002,2025-11-06 06:00,2025-11-06 16:45,10.75,1,ENG0669,Engineering,track
BLK00056,SEC002,2025-12-20 06:00,2025-12-20 07:30,1.5,1,SIG1703,Signalling,signal
BLK00057,SEC003,2025-02-23 06:00,2025-02-23 07:30,1.5,1,TRC0918,Traction,power
BLK00058,SEC003,2025-02-24 06:00,2025-02-24 17:45,11.75,1,TRC1419,Traction,power
BLK00059,SEC003,2025-02-25 06:00,2025-02-25 12:30,6.5,1,ENG0934,Engineering,track
BLK00060,SEC003,2025-03-14 06:00,2025-03-14 14:15,8.25,1,ENG2588,Engineering,track
BLK00061,SEC003,2025-03-25 06:00,2025-03-25 13:00,7.0,2,SIG1260;TRC2541,Signalling;Traction,signal
BLK00062,SEC003,2025-04-09 06:00,2025-04-09 17:30,11.5,2,TRC1873;SIG1497,Signalling;Traction,power
BLK00063,SEC003,2025-04-14 06:00,2025-04-14 08:15,2.25,1,SIG2592,Signalling,none
BLK00064,SEC003,2025-05-04 11:44,2025-05-04 19:29,7.75,1,SIG2447,Signalling,signal
BLK00065,SEC003,2025-05-06 06:00,2025-05-06 14:30,8.5,1,ENG3160,Engineering,track
BLK00066,SEC003,2025-05-06 20:46,2025-05-07 18:00,21.23,2,SIG1085;SIG2661,Signalling,none
BLK00067,SEC003,2025-05-10 06:00,2025-05-10 08:30,2.5,1,SIG0106,Signalling,none
BLK00068,SEC003,2025-05-15 06:00,2025-05-15 13:45,7.75,1,TRC0316,Traction,power
BLK00069,SEC003,2025-05-24 06:00,2025-05-24 17:45,11.75,1,TRC0066,Traction,power
BLK00070,SEC003,2025-06-02 06:00,2025-06-02 11:30,5.5,1,SIG2513,Signalling,none
BLK00071,SEC003,2025-06-17 06:00,2025-06-17 11:30,5.5,1,ENG0007,Engineering,track
BLK00072,SEC003,2025-06-18 06:00,2025-06-18 17:00,11.0,1,ENG0378,Engineering,track
BLK00073,SEC003,2025-06-26 06:00,2025-06-26 15:45,9.75,1,ENG2277,Engineering,track
BLK00074,SEC003,2025-07-02 06:00,2025-07-02 15:30,9.5,1,SIG2719,Signalling,signal
BLK00075,SEC003,2025-07-13 06:00,2025-07-13 13:00,7.0,1,SIG2634,Signalling,signal
BLK00076,SEC003,2025-08-02 06:00,2025-08-02 17:00,11.0,2,TRC2884;SIG1456,Signalling;Traction,power
BLK00077,SEC003,2025-08-07 06:00,2025-08-07 14:15,8.25,1,SIG0837,Signalling,signal
BLK00078,SEC003,2025-08-14 19:31,2025-08-15 12:45,17.23,2,ENG2404;TRC2588,Engineering;Traction,power;track
BLK00079,SEC003,2025-09-01 06:00,2025-09-01 10:00,4.0,1,ENG0511,Engineering,track
BLK00080,SEC003,2025-09-06 06:00,2025-09-06 12:00,6.0,1,ENG1753,Engineering,track
BLK00081,SEC003,2025-09-17 06:00,2025-09-17 15:30,9.5,1,SIG1897,Signalling,none
BLK00082,SEC003,2025-09-20 06:00,2025-09-20 07:45,1.75,1,ENG1696,Engineering,track
BLK00083,SEC003,2025-10-11 06:00,2025-10-11 12:45,6.75,1,ENG3441,Engineering,track
BLK00084,SEC003,2025-10-29 06:00,2025-10-29 08:45,2.75,1,SIG0910,Signalling,signal
BLK00085,SEC003,2025-11-18 06:00,2025-11-18 12:15,6.25,1,SIG1474,Signalling,signal
BLK00086,SEC003,2025-11-26 06:00,2025-11-26 11:45,5.75,1,ENG2520,Engineering,track
BLK00087,SEC003,2025-12-05 06:00,2025-12-05 08:30,2.5,1,SIG0536,Signalling,none
BLK00088,SEC004,2025-01-12 06:00,2025-01-12 13:30,7.5,1,ENG0190,Engineering,track
BLK00089,SEC004,2025-01-17 06:00,2025-01-17 15:00,9.0,1,ENG2617,Engineering,track
BLK00090,SEC004,2025-01-21 06:00,2025-01-21 16:30,10.5,1,SIG2777,Signalling,signal
BLK00091,SEC004,2025-01-31 06:00,2025-01-31 18:14,12.23,2,SIG2130;ENG1279,Engineering;Signalling,signal;track
BLK00092,SEC004,2025-02-03 06:00,2025-02-03 16:15,10.25,1,ENG0219,Engineering,track
BLK00093,SEC004,2025-02-05 06:00,2025-02-05 15:00,9.0,1,TRC2803,Traction,power
BLK00094,SEC004,2025-02-06 06:00,2025-02-06 17:15,11.25,1,TRC1760,Traction,none
BLK00095,SEC004,2025-02-10 06:00,2025-02-10 16:45,10.75,1,SIG0988,Signalling,none
BLK00096,SEC004,2025-02-28 06:00,2025-02-28 11:30,5.5,1,TRC2435,Traction,power
BLK00097,SEC004,2025-03-01 06:00,2025-03-01 17:30,11.5,1,SIG0774,Signalling,signal
BLK00098,SEC004,2025-03-10 06:00,2025-03-10 15:30,9.5,1,TRC0575,Traction,power
BLK00099,SEC004,2025-03-22 06:00,2025-03-22 14:15,8.25,1,ENG1389,Engineering,track
BLK00100,SEC004,2025-05-25 06:00,2025-05-25 11:15,5.25,1,ENG2624,Engineering,track
BLK00101,SEC004,2025-06-06 06:00,2025-06-06 15:00,9.0,1,ENG1366,Engineering,track
BLK00102,SEC004,2025-06-18 06:00,2025-06-18 08:45,2.75,1,TRC2687,Traction,none
BLK00103,SEC004,2025-06-20 06:00,2025-06-20 15:45,9.75,1,ENG3655,Engineering,track
BLK00104,SEC004,2025-07-22 06:00,2025-07-22 17:30,11.5,1,ENG3703,Engineering,track
BLK00105,SEC004,2025-09-14 06:00,2025-09-14 21:44,15.73,5,ENG3773;SIG0692;SIG0784;SIG1081;SIG2945,Engineering;Signalling,signal;track
BLK00106,SEC004,2025-09-28 06:00,2025-09-28 08:00,2.0,1,TRC0787,Traction,none
BLK00107,SEC004,2025-10-04 06:00,2025-10-04 16:00,10.0,1,ENG0706,Engineering,track
BLK00108,SEC004,2025-10-15 06:00,2025-10-15 15:30,9.5,1,ENG0558,Engineering,track
BLK00109,SEC004,2025-10-18 06:00,2025-10-18 14:30,8.5,1,ENG1354,Engineering,track
BLK00110,SEC004,2025-10-22 06:00,2025-10-22 15:45,9.75,1,SIG2251,Signalling,none
BLK00111,SEC004,2025-10-28 06:00,2025-10-28 10:45,4.75,1,ENG0922,Engineering,track
BLK00112,SEC004,2025-10-29 06:00,2025-10-29 09:30,3.5,1,ENG3738,Engineering,track
BLK00113,SEC004,2025-10-31 06:00,2025-10-31 16:30,10.5,1,ENG0276,Engineering,track
BLK00114,SEC004,2025-11-03 06:00,2025-11-03 09:45,3.75,1,TRC2621,Traction,power
BLK00115,SEC004,2025-11-04 06:00,2025-11-04 17:45,11.75,1,SIG1011,Signalling,none
BLK00116,SEC004,2025-11-19 06:00,2025-11-19 14:30,8.5,1,SIG0034,Signalling,signal
BLK00117,SEC004,2025-12-16 06:00,2025-12-16 08:30,2.5,1,ENG2332,Engineering,track
BLK00118,SEC005,2025-02-04 06:00,2025-02-04 09:45,3.75,1,ENG0582,Engineering,track
BLK00119,SEC005,2025-04-05 05:15,2025-04-05 12:29,7.23,2,SIG1531;TRC2802,Signalling;Traction,power;signal
BLK00120,SEC005,2025-04-07 06:00,2025-04-07 10:45,4.75,1,SIG0118,Signalling,signal
BLK00121,SEC005,2025-04-14 06:00,2025-04-14 08:30,2.5,1,ENG1578,Engineering,track
BLK00122,SEC005,2025-05-04 06:00,2025-05-04 10:30,4.5,1,SIG1678,Signalling,signal
BLK00123,SEC005,2025-05-27 06:00,2025-05-27 08:00,2.0,1,SIG2134,Signalling,none
BLK00124,SEC005,2025-06-09 06:00,2025-06-09 14:00,8.0,1,ENG2158,Engineering,track
BLK00125,SEC005,2025-06-29 06:00,2025-06-29 07:15,1.25,1,ENG0338,Engineering,track
BLK00126,SEC005,2025-07-06 06:00,2025-07-06 10:45,4.75,1,ENG1071,Engineering,track
BLK00127,SEC005,2025-07-11 23:31,2025-07-12 16:45,17.23,2,TRC0573;SIG2531,Signalling;Traction,power;signal
BLK00128,SEC005,2025-08-29 06:00,2025-08-29 10:00,4.0,1,SIG1754,Signalling,signal
BLK00129,SEC005,2025-09-02 06:00,2025-09-02 17:15,11.25,1,ENG2804,Engineering,track
BLK00130,SEC005,2025-09-10 06:00,2025-09-10 15:15,9.25,1,ENG0954,Engineering,track
BLK00131,SEC005,2025-09-19 06:00,2025-09-19 09:30,3.5,1,TRC1009,Traction,power
BLK00132,SEC005,2025-09-28 06:00,2025-09-28 09:30,3.5,1,SIG2124,Signalling,signal
BLK00133,SEC005,2025-10-16 06:00,2025-10-16 15:00,9.0,1,TRC0267,Traction,power
BLK00134,SEC005,2025-10-29 06:00,2025-10-29 14:00,8.0,1,TRC0555,Traction,none
BLK00135,SEC005,2025-11-14 06:00,2025-11-14 12:00,6.0,1,TRC0928,Traction,power
BLK00136,SEC006,2025-01-06 06:00,2025-01-06 15:15,9.25,1,ENG2711,Engineering,track
BLK00137,SEC006,2025-01-25 06:00,2025-01-25 13:30,7.5,1,SIG0496,Signalling,signal
BLK00138,SEC006,2025-01-26 06:00,2025-01-26 15:30,9.5,1,SIG0140,Signalling,none
BLK00139,SEC006,2025-01-27 06:00,2025-01-27 07:30,1.5,1,ENG0425,Engineering,track
BLK00140,SEC006,2025-02-03 22:31,2025-02-04 14:15,15.73,2,TRC2901;ENG0295,Engineering;Traction,power;track
BLK00141,SEC006,2025-02-06 06:00,2025-02-06 10:00,4.0,1,ENG3922,Engineering,track
BLK00142,SEC006,2025-02-12 06:00,2025-02-12 07:45,1.75,1,SIG1822,Signalling,none
BLK00143,SEC006,2025-02-16 06:00,2025-02-16 17:45,11.75,1,ENG3541,Engineering,track
BLK00144,SEC006,2025-02-27 06:00,2025-02-27 15:30,9.5,1,TRC1103,Traction,power
BLK00145,SEC006,2025-03-14 06:00,2025-03-14 17:00,11.0,2,SIG1366;ENG1274,Engineering;Signalling,signal;track
BLK00146,SEC006,2025-03-25 06:00,2025-03-25 10:30,4.5,1,TRC0744,Traction,none
BLK00147,SEC006,2025-03-27 06:00,2025-03-27 15:45,9.75,1,ENG3606,Engineering,track
BLK00148,SEC006,2025-04-07 06:00,2025-04-07 08:00,2.0,1,SIG2287,Signalling,signal
BLK00149,SEC006,2025-04-13 06:00,2025-04-13 08:15,2.25,1,SIG2792,Signalling,none
BLK00150,SEC006,2025-05-14 06:00,2025-05-14 09:00,3.0,1,ENG0301,Engineering,track
BLK00151,SEC006,2025-06-01 06:00,2025-06-01 13:45,7.75,1,TRC2911,Traction,none
BLK00152,SEC006,2025-06-16 06:00,2025-06-16 17:29,11.48,2,SIG2025;TRC2379,Signalling;Traction,signal
BLK00153,SEC006,2025-06-18 06:00,2025-06-18 19:29,13.48,3,ENG1969;TRC0230;TRC0322,Engineering;Traction,power;track
BLK00154,SEC006,2025-06-19 06:00,2025-06-19 13:00,7.0,1,SIG1132,Signalling,none
BLK00155,SEC006,2025-06-26 06:00,2025-06-26 13:45,7.75,1,SIG0068,Signalling,signal
BLK00156,SEC006,2025-06-28 06:00,2025-06-28 10:00,4.0,1,ENG2957,Engineering,track
BLK00157,SEC006,2025-07-01 06:00,2025-07-01 12:15,6.25,1,SIG0214,Signalling,none
BLK00158,SEC006,2025-09-02 06:00,2025-09-02 17:30,11.5,1,ENG0607,Engineering,track
BLK00159,SEC006,2025-09-13 06:00,2025-09-13 17:45,11.75,1,ENG1110,Engineering,track
BLK00160,SEC006,2025-09-21 06:00,2025-09-21 14:30,8.5,1,SIG0814,Signalling,signal
BLK00161,SEC006,2025-10-15 06:00,2025-10-15 11:30,5.5,1,SIG0013,Signalling,none
BLK00162,SEC006,2025-10-20 06:00,2025-10-20 13:00,7.0,1,TRC0668,Traction,power
BLK00163,SEC006,2025-11-09 06:00,2025-11-09 07:15,1.25,1,ENG1079,Engineering,track
BLK00164,SEC006,2025-11-10 06:00,2025-11-10 08:30,2.5,1,ENG1890,Engineering,track
BLK00165,SEC006,2025-12-15 01:59,2025-12-15 11:29,9.5,2,SIG1245;TRC1021,Signalling;Traction,none
BLK00166,SEC007,2025-01-08 06:00,2025-01-08 14:30,8.5,1,SIG1713,Signalling,none
BLK00167,SEC007,2025-01-30 16:00,2025-01-31 00:14,8.23,2,TRC0967;SIG1155,Signalling;Traction,signal
BLK00168,SEC007,2025-02-18 06:00,2025-02-18 12:15,6.25,1,ENG2963,Engineering,track
BLK00169,SEC007,2025-03-06 06:00,2025-03-06 10:00,4.0,1,ENG1498,Engineering,track
BLK00170,SEC007,2025-05-22 06:00,2025-05-22 13:00,7.0,1,ENG1382,Engineering,track
BLK00171,SEC007,2025-06-02 03:16,2025-06-02 14:00,10.73,2,SIG2679;SIG1289,Signalling,signal
BLK00172,SEC007,2025-06-21 06:00,2025-06-21 12:30,6.5,1,ENG1310,Engineering,track
BLK00173,SEC007,2025-06-22 06:00,2025-06-22 10:30,4.5,1,TRC1644,Traction,power
BLK00174,SEC007,2025-06-27 06:00,2025-06-27 14:45,8.75,1,ENG2137,Engineering,track
BLK00175,SEC007,2025-07-07 06:00,2025-07-07 17:30,11.5,1,TRC0224,Traction,none
BLK00176,SEC007,2025-07-18 06:00,2025-07-18 15:30,9.5,1,ENG2935,Engineering,track
BLK00177,SEC007,2025-07-27 06:00,2025-07-27 11:00,5.0,1,ENG2648,Engineering,track
BLK00178,SEC007,2025-09-19 06:00,2025-09-19 08:30,2.5,1,TRC2709,Traction,power
BLK00179,SEC007,2025-09-26 06:00,2025-09-26 08:45,2.75,1,ENG1152,Engineering,track
BLK00180,SEC007,2025-10-09 06:00,2025-10-09 16:45,10.75,1,SIG0951,Signalling,signal
BLK00181,SEC007,2025-10-29 06:00,2025-10-29 13:30,7.5,1,SIG0876,Signalling,none
BLK00182,SEC007,2025-11-13 06:00,2025-11-13 09:00,3.0,1,ENG2620,Engineering,track
BLK00183,SEC007,2025-11-21 06:00,2025-11-21 09:00,3.0,1,SIG0161,Signalling,signal
BLK00184,SEC007,2025-12-17 06:00,2025-12-17 15:00,9.0,2,TRC1202;SIG1045,Signalling;Traction,none
BLK00185,SEC008,2025-01-04 06:00,2025-01-04 09:00,3.0,1,TRC1957,Traction,power
BLK00186,SEC008,2025-01-09 15:44,2025-01-10 02:14,10.5,1,SIG0178,Signalling,signal
BLK00187,SEC008,2025-01-14 06:00,2025-01-14 09:15,3.25,1,TRC0660,Traction,power
BLK00188,SEC008,2025-01-17 06:00,2025-01-18 01:14,19.23,2,SIG1915;ENG2674,Engineering;Signalling,track
BLK00189,SEC008,2025-01-27 06:00,2025-01-27 17:00,11.0,1,TRC2791,Traction,power
BLK00190,SEC008,2025-01-28 06:00,2025-01-28 11:30,5.5,1,SIG1193,Signalling,none
BLK00191,SEC008,2025-01-30 06:00,2025-01-30 08:45,2.75,1,TRC2981,Traction,none
BLK00192,SEC008,2025-01-31 06:00,2025-01-31 09:30,3.5,1,SIG2956,Signalling,signal
BLK00193,SEC008,2025-02-07 06:00,2025-02-07 14:30,8.5,1,ENG2194,Engineering,track
BLK00194,SEC008,2025-02-08 06:00,2025-02-08 16:30,10.5,1,TRC1766,Traction,power
BLK00195,SEC008,2025-02-20 06:00,2025-02-20 07:15,1.25,1,ENG3171,Engineering,track
BLK00196,SEC008,2025-03-02 06:00,2025-03-02 11:30,5.5,1,ENG2482,Engineering,track
BLK00197,SEC008,2025-03-17 06:00,2025-03-17 16:00,10.0,1,ENG0838,Engineering,track
BLK00198,SEC008,2025-03-20 06:00,2025-03-20 08:00,2.0,1,ENG1329,Engineering,track
BLK00199,SEC008,2025-04-04 06:00,2025-04-04 10:45,4.75,1,ENG1207,Engineering,track
BLK00200,SEC008,2025-04-19 06:00,2025-04-19 11:00,5.0,1,SIG2617,Signalling,none
BLK00201,SEC008,2025-04-26 06:00,2025-04-26 09:45,3.75,1,TRC0372,Traction,none
BLK00202,SEC008,2025-05-16 06:00,2025-05-16 10:15,4.25,1,ENG0352,Engineering,track
BLK00203,SEC008,2025-05-19 06:00,2025-05-19 16:45,10.75,1,TRC0544,Traction,none
BLK00204,SEC008,2025-06-01 06:00,2025-06-01 15:15,9.25,1,ENG1248,Engineering,track
BLK00205,SEC008,2025-06-05 06:00,2025-06-05 15:45,9.75,1,TRC2888,Traction,power
BLK00206,SEC008,2025-06-06 06:00,2025-06-06 15:00,9.0,1,TRC1841,Traction,power
BLK00207,SEC008,2025-06-09 06:00,2025-06-09 17:30,11.5,1,SIG0744,Signalling,signal
BLK00208,SEC008,2025-06-13 06:00,2025-06-13 09:15,3.25,1,TRC2838,Traction,none
BLK00209,SEC008,2025-06-22 06:00,2025-06-22 08:15,2.25,1,SIG1522,Signalling,signal
BLK00210,SEC008,2025-06-30 06:00,2025-06-30 16:15,10.25,1,TRC2598,Traction,none
BLK00211,SEC008,2025-07-06 06:00,2025-07-06 10:00,4.0,1,ENG3886,Engineering,track
BLK00212,SEC008,2025-07-29 06:00,2025-07-29 13:00,7.0,1,TRC0185,Traction,none
BLK00213,SEC008,2025-08-19 06:00,2025-08-19 17:15,11.25,1,ENG2444,Engineering,track
BLK00214,SEC008,2025-08-23 06:00,2025-08-23 15:30,9.5,1,ENG2178,Engineering,track
BLK00215,SEC008,2025-09-16 06:00,2025-09-16 13:30,7.5,2,TRC2660;TRC0864,Traction,none
BLK00216,SEC008,2025-10-08 21:01,2025-10-09 13:15,16.23,2,ENG0263;SIG2204,Engineering;Signalling,signal;track
BLK00217,SEC008,2025-10-15 06:00,2025-10-15 10:15,4.25,1,SIG2385,Signalling,signal
BLK00218,SEC008,2025-10-23 06:00,2025-10-23 14:30,8.5,1,SIG1272,Signalling,none
BLK00219,SEC008,2025-11-09 06:00,2025-11-09 17:15,11.25,1,ENG3162,Engineering,track
BLK00220,SEC008,2025-11-10 06:00,2025-11-10 15:45,9.75,1,ENG1691,Engineering,track
BLK00221,SEC008,2025-11-25 06:00,2025-11-25 10:00,4.0,1,TRC2586,Traction,power
BLK00222,SEC008,2025-12-19 06:00,2025-12-19 14:30,8.5,1,SIG2205,Signalling,signal
BLK00223,SEC009,2025-01-29 06:00,2025-01-29 20:14,14.23,2,TRC0576;SIG0275,Signalling;Traction,power
BLK00224,SEC009,2025-02-05 06:00,2025-02-05 14:00,8.0,1,ENG1598,Engineering,track
BLK00225,SEC009,2025-02-21 06:00,2025-02-21 11:30,5.5,1,TRC1347,Traction,power
BLK00226,SEC009,2025-02-24 06:00,2025-02-24 15:00,9.0,1,ENG0962,Engineering,track
BLK00227,SEC009,2025-03-02 06:00,2025-03-02 11:30,5.5,1,ENG2768,Engineering,track
BLK00228,SEC009,2025-03-07 06:00,2025-03-07 10:00,4.0,1,SIG1219,Signalling,none
BLK00229,SEC009,2025-03-25 06:00,2025-03-25 17:15,11.25,1,SIG0596,Signalling,signal
BLK00230,SEC009,2025-03-27 06:00,2025-03-27 14:45,8.75,1,SIG0329,Signalling,signal
BLK00231,SEC009,2025-04-21 09:59,2025-04-21 15:14,5.25,1,SIG1699,Signalling,none
BLK00232,SEC009,2025-04-26 06:00,2025-04-26 08:30,2.5,2,TRC0239;SIG2171,Signalling;Traction,none
BLK00233,SEC009,2025-05-01 06:00,2025-05-01 12:30,6.5,1,SIG3000,Signalling,none
BLK00234,SEC009,2025-05-13 06:00,2025-05-13 14:15,8.25,1,SIG0179,Signalling,signal
BLK00235,SEC009,2025-06-18 06:00,2025-06-18 11:30,5.5,1,SIG1902,Signalling,signal
BLK00236,SEC009,2025-07-07 06:00,2025-07-07 09:45,3.75,1,ENG0322,Engineering,track
BLK00237,SEC009,2025-07-18 06:00,2025-07-18 16:45,10.75,1,ENG0995,Engineering,track
BLK00238,SEC009,2025-07-25 06:00,2025-07-25 16:00,10.0,1,ENG1911,Engineering,track
BLK00239,SEC009,2025-08-08 06:00,2025-08-08 11:30,5.5,1,SIG1135,Signalling,signal
BLK00240,SEC009,2025-09-04 06:00,2025-09-04 09:15,3.25,1,ENG2203,Engineering,track
BLK00241,SEC009,2025-09-12 06:00,2025-09-12 14:00,8.0,1,ENG3981,Engineering,track
BLK00242,SEC009,2025-09-13 06:00,2025-09-13 13:15,7.25,1,ENG2352,Engineering,track
BLK00243,SEC009,2025-10-03 06:00,2025-10-03 12:45,6.75,1,ENG2894,Engineering,track
BLK00244,SEC009,2025-10-11 17:44,2025-10-12 11:58,18.23,2,SIG1995;SIG0458,Signalling,signal
BLK00245,SEC009,2025-10-18 06:00,2025-10-18 07:30,1.5,1,ENG2272,Engineering,track
BLK00246,SEC009,2025-11-04 06:00,2025-11-04 09:15,3.25,1,SIG2757,Signalling,none
BLK00247,SEC009,2025-11-05 06:00,2025-11-05 16:30,10.5,1,ENG2973,Engineering,track
BLK00248,SEC009,2025-11-09 06:00,2025-11-10 01:14,19.23,2,ENG0662;TRC2689,Engineering;Traction,track
BLK00249,SEC009,2025-11-10 06:00,2025-11-10 07:15,1.25,1,SIG0590,Signalling,none
BLK00250,SEC009,2025-11-11 06:00,2025-11-11 14:30,8.5,1,TRC1876,Traction,power
BLK00251,SEC009,2025-11-24 06:00,2025-11-24 16:15,10.25,1,TRC0995,Traction,none
BLK00252,SEC010,2025-02-09 18:45,2025-02-10 04:29,9.73,3,SIG0664;ENG1643;TRC1495,Engineering;Signalling;Traction,power;signal;track
BLK00253,SEC010,2025-02-21 06:00,2025-02-21 11:30,5.5,1,SIG1668,Signalling,none
BLK00254,SEC010,2025-02-22 06:00,2025-02-22 12:45,6.75,1,ENG2163,Engineering,track
BLK00255,SEC010,2025-02-26 06:00,2025-02-26 15:00,9.0,1,ENG1275,Engineering,track
BLK00256,SEC010,2025-03-02 06:00,2025-03-02 10:45,4.75,1,SIG1282,Signalling,signal
BLK00257,SEC010,2025-03-07 06:00,2025-03-07 08:00,2.0,1,SIG0805,Signalling,signal
BLK00258,SEC010,2025-03-14 06:00,2025-03-14 11:45,5.75,1,TRC0922,Traction,power
BLK00259,SEC010,2025-04-11 06:00,2025-04-11 09:15,3.25,2,ENG0309;TRC0797,Engineering;Traction,power;track
