block_id,task_id,section_id,department,start_time,end_time,duration_hours,predicted_priority_score,predicted_priority_class,train_conflict_cost,power_block_required,signal_block_required,track_block_required,status
BLK00712,ENG0041,SEC012,Engineering,2025-12-18 06:00,2025-12-18 08:45,2.7,42.8,MEDIUM,109.1,False,False,True,SCHEDULED
BLK00616,ENG0043,SEC011,Engineering,2025-06-12 06:00,2025-06-12 10:15,4.2,66.0,HIGH,203.3,False,False,True,SCHEDULED
BLK02216,ENG0046,SEC040,Engineering,2025-07-25 06:00,2025-07-25 15:45,9.6,41.37,MEDIUM,232.3,False,False,True,SCHEDULED
BLK00987,ENG0049,SEC017,Engineering,2025-10-14 06:00,2025-10-14 15:45,9.6,64.14,HIGH,368.6,False,False,True,SCHEDULED
BLK00521,ENG0050,SEC009,Engineering,2025-10-13 06:00,2025-10-13 09:30,3.4,26.4,LOW,142.1,False,False,True,SCHEDULED
BLK03155,ENG0051,SEC058,Engineering,2025-11-24 06:00,2025-11-24 17:30,11.5,62.05,HIGH,314.0,False,False,True,SCHEDULED
BLK01766,ENG0054,SEC031,Engineering,2025-05-29 06:00,2025-05-29 16:30,10.4,43.51,MEDIUM,421.2,False,False,True,SCHEDULED
BLK00696,ENG0055,SEC012,Engineering,2025-08-31 06:00,2025-08-31 10:45,4.6,61.9,HIGH,185.8,False,False,True,SCHEDULED
BLK02106,ENG0056,SEC038,Engineering,2025-03-01 06:00,2025-03-01 14:15,8.2,43.6,MEDIUM,337.0,False,False,True,SCHEDULED
BLK03825,ENG0060,SEC072,Engineering,2025-09-17 06:00,2025-09-17 07:30,1.4,61.19,HIGH,33.6,False,False,True,SCHEDULED
BLK00833,ENG0061,SEC014,Engineering,2025-11-24 06:00,2025-11-24 11:00,4.9,83.7,CRITICAL,222.5,False,False,True,SCHEDULED
BLK01550,ENG0062,SEC027,Engineering,2025-10-24 06:00,2025-10-24 16:15,10.1,38.03,LOW,360.6,False,False,True,SCHEDULED
BLK03885,ENG0064,SEC073,Engineering,2025-11-02 06:00,2025-11-02 12:45,6.7,39.9,LOW,139.4,False,False,True,SCHEDULED
BLK00610,ENG0065,SEC011,Engineering,2025-05-20 06:00,2025-05-20 15:30,9.4,98.9,CRITICAL,455.0,False,False,True,SCHEDULED
BLK01567,ENG0069,SEC028,Engineering,2025-03-07 06:00,2025-03-07 07:15,1.1,39.99,LOW,57.1,False,False,True,SCHEDULED
BLK01080,ENG0070,SEC019,Engineering,2025-07-31 06:00,2025-07-31 11:30,5.5,44.97,MEDIUM,268.4,False,False,True,SCHEDULED
BLK03606,ENG0072,SEC068,Engineering,2025-05-02 00:00,2025-05-02 09:45,9.7,60.9,HIGH,296.8,False,False,True,SCHEDULED
BLK03934,ENG0073,SEC074,Engineering,2025-08-21 06:00,2025-08-21 09:15,3.1,62.5,HIGH,74.4,False,False,True,SCHEDULED
BLK00087,ENG0074,SEC002,Engineering,2025-06-26 06:00,2025-06-26 17:00,11.0,31.01,LOW,375.1,False,False,True,SCHEDULED
BLK02213,ENG0077,SEC040,Engineering,2025-07-06 06:00,2025-07-06 15:30,9.5,61.63,HIGH,229.9,False,False,True,SCHEDULED
BLK03259,ENG0081,SEC060,Engineering,2025-11-11 07:45,2025-11-11 18:15,10.3,60.99,HIGH,206.0,False,False,True,SCHEDULED
BLK00033,ENG0083,SEC001,Engineering,2025-08-30 06:00,2025-08-30 09:15,3.2,39.2,LOW,136.3,False,False,True,SCHEDULED
BLK02131,ENG0093,SEC038,Engineering,2025-07-12 06:00,2025-07-12 12:30,6.3,43.59,MEDIUM,258.9,False,False,True,SCHEDULED
BLK02450,ENG0094,SEC044,Engineering,2025-09-27 06:00,2025-09-27 15:15,9.2,62.8,HIGH,319.2,False,False,True,SCHEDULED
BLK03269,ENG0095,SEC061,Engineering,2025-02-20 06:00,2025-02-20 10:00,4.0,28.4,LOW,82.4,False,False,True,SCHEDULED
BLK02795,ENG0097,SEC052,Engineering,2025-01-30 06:00,2025-01-30 09:30,3.4,80.73,CRITICAL,68.0,False,False,True,SCHEDULED
BLK03998,ENG0098,SEC075,Engineering,2025-09-29 06:00,2025-09-29 16:00,10.0,94.4,CRITICAL,200.0,False,False,True,SCHEDULED
BLK03078,ENG0100,SEC057,Engineering,2025-02-14 06:00,2025-02-14 13:30,7.3,82.51,CRITICAL,253.3,False,False,True,SCHEDULED
BLK02507,ENG0102,SEC046,Engineering,2025-01-19 06:00,2025-01-19 13:00,7.0,61.3,HIGH,189.0,False,False,True,SCHEDULED
BLK00649,ENG0104,SEC011,Engineering,2025-11-10 06:00,2025-11-10 16:30,10.3,84.93,CRITICAL,498.5,False,False,True,SCHEDULED
BLK02164,ENG0107,SEC039,Engineering,2025-07-24 06:00,2025-07-24 13:15,7.1,29.55,LOW,254.9,False,False,True,SCHEDULED
BLK00730,ENG0108,SEC013,Engineering,2025-04-20 18:00,2025-04-21 03:00,9.0,62.84,HIGH,427.5,False,False,True,SCHEDULED
BLK02418,ENG0109,SEC044,Engineering,2025-04-19 06:00,2025-04-19 14:30,8.4,29.76,LOW,291.5,False,False,True,SCHEDULED
BLK01147,ENG0110,SEC020,Engineering,2025-10-13 06:00,2025-10-13 11:00,5.0,42.3,MEDIUM,192.0,False,False,True,SCHEDULED
BLK00430,ENG0111,SEC008,Engineering,2025-04-19 06:00,2025-04-19 07:30,1.5,45.8,MEDIUM,68.2,False,False,True,SCHEDULED
BLK03564,ENG0115,SEC067,Engineering,2025-04-13 06:00,2025-04-13 16:15,10.1,95.5,CRITICAL,260.6,False,False,True,SCHEDULED
BLK01243,ENG0117,SEC022,Engineering,2025-06-28 06:00,2025-06-28 09:00,2.9,84.1,CRITICAL,113.1,False,False,True,SCHEDULED
BLK02523,ENG0119,SEC046,Engineering,2025-04-10 06:00,2025-04-10 16:15,10.2,60.96,HIGH,275.4,False,False,True,SCHEDULED
BLK03880,ENG0120,SEC073,Engineering,2025-10-04 06:00,2025-10-04 08:45,2.7,36.99,LOW,56.2,False,False,True,SCHEDULED
BLK01838,ENG0121,SEC032,Engineering,2025-10-31 06:00,2025-10-31 17:00,10.9,39.8,LOW,380.4,False,False,True,SCHEDULED
BLK03946,ENG0123,SEC074,Engineering,2025-10-30 06:00,2025-10-30 10:15,4.2,61.9,HIGH,100.8,False,False,True,SCHEDULED
BLK01197,ENG0124,SEC021,Engineering,2025-10-14 06:00,2025-10-14 14:15,8.2,84.5,CRITICAL,357.5,False,False,True,SCHEDULED
BLK00109,ENG0126,SEC002,Engineering,2025-10-29 06:00,2025-10-29 09:30,3.3,39.39,LOW,112.5,False,False,True,SCHEDULED
BLK01254,ENG0127,SEC022,Engineering,2025-08-02 06:00,2025-08-02 09:00,2.9,64.4,HIGH,113.1,False,False,True,SCHEDULED
BLK02196,ENG0128,SEC040,Engineering,2025-04-05 06:00,2025-04-05 17:45,11.6,81.0,CRITICAL,280.7,False,False,True,SCHEDULED
BLK00785,ENG0129,SEC014,Engineering,2025-02-17 06:00,2025-02-17 08:00,2.0,46.3,MEDIUM,90.8,False,False,True,SCHEDULED
BLK02094,ENG0131,SEC037,Engineering,2025-10-27 06:00,2025-10-27 14:15,8.2,63.7,HIGH,408.4,False,False,True,SCHEDULED
BLK00574,ENG0134,SEC010,Engineering,2025-10-07 06:00,2025-10-07 12:45,6.6,98.9,CRITICAL,308.9,False,False,True,SCHEDULED
BLK01558,ENG0135,SEC028,Engineering,2025-01-26 06:00,2025-01-26 15:30,9.4,99.4,CRITICAL,487.9,False,False,True,SCHEDULED
BLK00916,ENG0136,SEC016,Engineering,2025-06-01 06:00,2025-06-01 15:00,8.9,44.6,MEDIUM,377.4,False,False,True,SCHEDULED
BLK01977,ENG0137,SEC035,Engineering,2025-07-14 06:00,2025-07-14 16:30,10.3,84.1,CRITICAL,496.5,False,False,True,SCHEDULED
BLK03481,ENG0140,SEC065,Engineering,2025-05-26 06:00,2025-05-26 08:00,1.9,60.99,HIGH,54.5,False,False,True,SCHEDULED
BLK03855,ENG0141,SEC073,Engineering,2025-05-26 06:00,2025-05-26 16:30,10.4,40.1,MEDIUM,216.3,False,False,True,SCHEDULED
BLK02597,ENG0143,SEC047,Engineering,2025-10-03 06:00,2025-10-03 07:15,1.1,62.0,HIGH,22.4,False,False,True,SCHEDULED
BLK01169,ENG0145,SEC021,Engineering,2025-04-16 06:00,2025-04-16 11:00,4.9,46.04,MEDIUM,213.6,False,False,True,SCHEDULED
BLK01959,ENG0148,SEC035,Engineering,2025-03-13 06:00,2025-03-13 15:45,9.7,44.0,MEDIUM,467.5,False,False,True,SCHEDULED
BLK00397,ENG0149,SEC007,Engineering,2025-10-05 06:00,2025-10-05 14:30,8.4,42.59,MEDIUM,398.2,False,False,True,SCHEDULED
BLK01461,ENG0151,SEC026,Engineering,2025-04-05 06:00,2025-04-05 08:00,2.0,65.1,HIGH,103.2,False,False,True,SCHEDULED
BLK00632,ENG0153,SEC011,Engineering,2025-08-14 06:00,2025-08-14 15:00,8.8,99.1,CRITICAL,425.9,False,False,True,SCHEDULED
BLK03550,ENG0154,SEC066,Engineering,2025-12-07 14:00,2025-12-08 00:00,9.9,37.0,LOW,267.3,False,False,True,SCHEDULED
BLK01586,ENG0156,SEC028,Engineering,2025-07-23 06:00,2025-07-23 14:15,8.2,84.5,CRITICAL,425.6,False,False,True,SCHEDULED
BLK00896,ENG0158,SEC016,Engineering,2025-01-02 00:00,2025-01-02 09:00,8.8,63.48,HIGH,373.1,False,False,True,SCHEDULED
BLK01855,ENG0160,SEC033,Engineering,2025-03-18 15:45,2025-03-18 22:15,6.3,39.5,LOW,310.0,False,False,True,SCHEDULED
BLK01841,ENG0161,SEC032,Engineering,2025-11-16 06:00,2025-11-16 13:45,7.6,96.2,CRITICAL,265.2,False,False,True,SCHEDULED
BLK01904,ENG0163,SEC033,Engineering,2025-12-05 06:00,2025-12-05 11:00,5.0,85.6,CRITICAL,246.0,False,False,True,SCHEDULED
BLK02373,ENG0164,SEC043,Engineering,2025-07-26 06:00,2025-07-26 11:00,5.0,61.6,HIGH,163.5,False,False,True,SCHEDULED
BLK01896,ENG0165,SEC033,Engineering,2025-10-27 06:00,2025-10-27 16:00,9.9,66.26,HIGH,487.1,False,False,True,SCHEDULED
BLK01382,ENG0166,SEC024,Engineering,2025-09-28 16:00,2025-09-29 03:00,10.9,38.5,LOW,450.2,False,False,True,SCHEDULED
BLK00272,ENG0168,SEC005,Engineering,2025-07-14 06:00,2025-07-14 10:45,4.6,40.5,MEDIUM,242.9,False,False,True,SCHEDULED
BLK02218,ENG0169,SEC040,Engineering,2025-07-30 06:00,2025-07-30 13:00,7.0,62.12,HIGH,169.4,False,False,True,SCHEDULED
BLK00917,ENG0171,SEC016,Engineering,2025-06-04 06:00,2025-06-04 14:30,8.5,83.5,CRITICAL,360.4,False,False,True,SCHEDULED
BLK01175,ENG0173,SEC021,Engineering,2025-05-18 06:00,2025-05-18 13:30,7.4,97.32,CRITICAL,322.6,False,False,True,SCHEDULED
BLK00339,ENG0177,SEC006,Engineering,2025-07-18 06:00,2025-07-18 13:00,7.0,84.4,CRITICAL,350.7,False,False,True,SCHEDULED
BLK01686,ENG0181,SEC030,Engineering,2025-03-27 06:00,2025-03-27 16:30,10.5,64.7,HIGH,429.4,False,False,True,SCHEDULED
BLK02325,ENG0183,SEC042,Engineering,2025-08-25 06:00,2025-08-25 16:15,10.1,82.8,CRITICAL,293.9,False,False,True,SCHEDULED
BLK03183,ENG0184,SEC059,Engineering,2025-04-29 06:00,2025-04-29 10:00,3.8,35.1,LOW,76.4,False,False,True,SCHEDULED
BLK03141,ENG0188,SEC058,Engineering,2025-08-13 06:00,2025-08-13 14:45,8.7,62.2,HIGH,237.5,False,False,True,SCHEDULED
BLK00185,ENG0190,SEC004,Engineering,2025-01-12 06:00,2025-01-12 13:30,7.3,98.4,CRITICAL,317.6,False,False,True,SCHEDULED
BLK00345,ENG0193,SEC006,Engineering,2025-09-01 06:00,2025-09-01 15:15,9.1,99.1,CRITICAL,455.9,False,False,True,SCHEDULED
BLK01885,ENG0194,SEC033,Engineering,2025-09-05 01:46,2025-09-05 06:01,4.2,66.1,HIGH,206.6,False,False,True,SCHEDULED
BLK01807,ENG0196,SEC032,Engineering,2025-04-16 06:00,2025-04-16 17:15,11.2,96.6,CRITICAL,390.9,False,False,True,SCHEDULED
BLK02856,ENG0206,SEC053,Engineering,2025-03-06 06:00,2025-03-06 12:30,6.5,61.6,HIGH,162.5,False,False,True,SCHEDULED
BLK00131,ENG0207,SEC003,Engineering,2025-05-02 06:00,2025-05-02 08:15,2.1,84.0,CRITICAL,103.3,False,False,True,SCHEDULED
BLK02083,ENG0216,SEC037,Engineering,2025-07-31 06:00,2025-07-31 08:45,2.6,64.0,HIGH,129.5,False,False,True,SCHEDULED
BLK00020,ENG0217,SEC001,Engineering,2025-06-12 06:00,2025-06-12 10:30,4.3,39.8,LOW,183.2,False,False,True,SCHEDULED
BLK00240,ENG0218,SEC005,Engineering,2025-01-15 06:00,2025-01-15 12:00,5.8,46.11,MEDIUM,306.2,False,False,True,SCHEDULED
BLK00190,ENG0219,SEC004,Engineering,2025-02-03 06:00,2025-02-03 16:15,10.1,63.47,HIGH,439.4,False,False,True,SCHEDULED
BLK01156,ENG0224,SEC021,Engineering,2025-01-21 06:00,2025-01-21 17:15,11.1,83.2,CRITICAL,484.0,False,False,True,SCHEDULED
BLK01712,ENG0227,SEC030,Engineering,2025-08-14 06:00,2025-08-14 07:30,1.5,83.5,CRITICAL,61.4,False,False,True,SCHEDULED
BLK02896,ENG0228,SEC053,Engineering,2025-12-11 06:00,2025-12-11 17:00,10.8,94.9,CRITICAL,270.0,False,False,True,SCHEDULED
BLK01875,ENG0230,SEC033,Engineering,2025-07-15 06:00,2025-07-15 11:30,5.5,84.9,CRITICAL,270.6,False,False,True,SCHEDULED
BLK02493,ENG0233,SEC045,Engineering,2025-10-17 21:59,2025-10-18 03:14,5.1,81.1,CRITICAL,142.8,False,False,True,SCHEDULED
BLK00081,ENG0234,SEC002,Engineering,2025-05-26 06:00,2025-05-26 14:30,8.3,28.01,LOW,283.0,False,False,True,SCHEDULED
BLK02032,ENG0236,SEC036,Engineering,2025-09-06 06:00,2025-09-06 16:00,9.9,85.1,CRITICAL,515.8,False,False,True,SCHEDULED
BLK03707,ENG0238,SEC070,Engineering,2025-07-16 06:00,2025-07-16 08:00,1.8,61.5,HIGH,41.0,False,False,True,SCHEDULED
BLK02252,ENG0239,SEC041,Engineering,2025-04-03 19:16,2025-04-04 06:01,10.7,94.8,CRITICAL,224.7,False,False,True,SCHEDULED
BLK01921,ENG0243,SEC034,Engineering,2025-05-30 06:00,2025-05-30 09:30,3.4,96.7,CRITICAL,115.3,False,False,True,SCHEDULED
BLK01308,ENG0244,SEC023,Engineering,2025-07-10 06:00,2025-07-10 10:30,4.3,97.7,CRITICAL,194.8,False,False,True,SCHEDULED
BLK01431,ENG0245,SEC025,Engineering,2025-09-26 06:00,2025-09-26 15:00,8.8,44.9,MEDIUM,424.2,False,False,True,SCHEDULED
BLK03665,ENG0246,SEC069,Engineering,2025-06-05 06:00,2025-06-05 12:15,6.2,59.45,MEDIUM,124.0,False,False,True,SCHEDULED
BLK00178,ENG0251,SEC003,Engineering,2025-12-03 06:00,2025-12-03 12:30,6.4,66.1,HIGH,314.9,False,False,True,SCHEDULED
BLK01001,ENG0254,SEC018,Engineering,2025-02-18 06:00,2025-02-18 08:15,2.1,63.0,HIGH,87.4,False,False,True,SCHEDULED
BLK02107,ENG0256,SEC038,Engineering,2025-03-04 06:00,2025-03-04 16:00,9.9,28.1,LOW,406.9,False,False,True,SCHEDULED
BLK00444,ENG0257,SEC008,Engineering,2025-06-23 06:00,2025-06-23 14:00,7.8,64.0,HIGH,354.9,False,False,True,SCHEDULED
BLK01842,ENG0261,SEC032,Engineering,2025-11-19 06:00,2025-11-19 09:15,3.1,37.8,LOW,108.2,False,False,True,SCHEDULED
BLK00458,ENG0263,SEC008,Engineering,2025-10-02 06:00,2025-10-02 15:00,8.9,64.91,HIGH,405.0,False,False,True,SCHEDULED
BLK01879,ENG0264,SEC033,Engineering,2025-07-29 06:00,2025-07-29 14:30,8.3,98.33,CRITICAL,408.4,False,False,True,SCHEDULED
BLK02904,ENG0268,SEC054,Engineering,2025-02-27 06:00,2025-02-27 15:15,9.2,94.81,CRITICAL,208.8,False,False,True,SCHEDULED
BLK01732,ENG0270,SEC030,Engineering,2025-11-06 06:00,2025-11-06 15:00,8.9,84.4,CRITICAL,364.0,False,False,True,SCHEDULED
BLK03242,ENG0273,SEC060,Engineering,2025-08-07 06:00,2025-08-07 09:45,3.6,39.8,LOW,72.0,False,False,True,SCHEDULED
BLK00230,ENG0276,SEC004,Engineering,2025-10-31 06:00,2025-10-31 16:30,10.5,97.7,CRITICAL,456.8,False,False,True,SCHEDULED
BLK03674,ENG0277,SEC069,Engineering,2025-09-27 06:00,2025-09-27 09:00,2.9,42.4,MEDIUM,58.0,False,False,True,SCHEDULED
BLK02743,ENG0280,SEC050,Engineering,2025-12-16 20:31,2025-12-17 06:01,9.4,39.3,LOW,188.0,False,False,True,SCHEDULED
BLK02345,ENG0286,SEC043,Engineering,2025-01-28 06:00,2025-01-28 15:00,9.0,61.6,HIGH,294.3,False,False,True,SCHEDULED
BLK02228,ENG0290,SEC040,Engineering,2025-09-11 06:00,2025-09-11 13:00,6.9,26.9,LOW,167.0,False,False,True,SCHEDULED
BLK00156,ENG0291,SEC003,Engineering,2025-08-23 06:00,2025-08-23 08:00,2.0,64.47,HIGH,98.4,False,False,True,SCHEDULED
BLK02201,ENG0292,SEC040,Engineering,2025-04-26 06:00,2025-04-26 08:15,2.2,61.12,HIGH,53.2,False,False,True,SCHEDULED
BLK01079,ENG0293,SEC019,Engineering,2025-07-29 06:00,2025-07-29 08:00,2.0,40.14,MEDIUM,97.6,False,False,True,SCHEDULED
BLK00302,ENG0295,SEC006,Engineering,2025-02-04 06:00,2025-02-04 14:15,8.1,85.7,CRITICAL,405.8,False,False,True,SCHEDULED
BLK03773,ENG0296,SEC071,Engineering,2025-10-25 06:00,2025-10-25 09:45,3.7,80.0,CRITICAL,82.1,False,False,True,SCHEDULED
BLK00694,ENG0298,SEC012,Engineering,2025-08-23 06:00,2025-08-23 16:15,10.1,40.8,MEDIUM,408.0,False,False,True,SCHEDULED
BLK00323,ENG0301,SEC006,Engineering,2025-05-14 06:00,2025-05-14 09:00,2.9,32.1,LOW,145.3,False,False,True,SCHEDULED
BLK01101,ENG0303,SEC019,Engineering,2025-12-06 06:00,2025-12-06 14:15,8.1,84.0,CRITICAL,395.3,False,False,True,SCHEDULED
BLK00863,ENG0304,SEC015,Engineering,2025-06-17 13:44,2025-06-17 17:44,3.9,39.92,LOW,175.5,False,False,True,SCHEDULED
BLK01142,ENG0305,SEC020,Engineering,2025-10-01 06:00,2025-10-01 16:45,10.7,38.6,LOW,410.9,False,False,True,SCHEDULED
BLK01271,ENG0307,SEC022,Engineering,2025-11-11 06:00,2025-11-11 11:00,5.0,62.6,HIGH,195.0,False,False,True,SCHEDULED
BLK00544,ENG0309,SEC010,Engineering,2025-04-11 06:00,2025-04-11 09:15,3.1,65.34,HIGH,145.1,False,False,True,SCHEDULED
BLK00502,ENG0312,SEC009,Engineering,2025-06-03 06:00,2025-06-03 11:00,5.0,97.91,CRITICAL,209.0,False,False,True,SCHEDULED
BLK02221,ENG0313,SEC040,Engineering,2025-08-21 06:00,2025-08-21 17:30,11.5,62.8,HIGH,278.3,False,False,True,SCHEDULED
BLK00080,ENG0317,SEC002,Engineering,2025-05-18 06:00,2025-05-18 18:00,11.8,62.92,HIGH,402.4,False,False,True,SCHEDULED
BLK01090,ENG0318,SEC019,Engineering,2025-09-28 06:00,2025-09-28 15:15,9.1,42.3,MEDIUM,444.1,False,False,True,SCHEDULED
BLK01138,ENG0319,SEC020,Engineering,2025-09-21 06:00,2025-09-21 13:30,7.4,64.19,HIGH,284.2,False,False,True,SCHEDULED
BLK00507,ENG0322,SEC009,Engineering,2025-07-07 06:00,2025-07-07 09:45,3.6,43.31,MEDIUM,150.5,False,False,True,SCHEDULED
BLK00320,ENG0323,SEC006,Engineering,2025-04-28 06:00,2025-04-28 11:15,5.1,30.8,LOW,255.5,False,False,True,SCHEDULED
BLK00626,ENG0324,SEC011,Engineering,2025-07-06 06:00,2025-07-06 13:30,7.3,85.42,CRITICAL,353.3,False,False,True,SCHEDULED
BLK02729,ENG0325,SEC050,Engineering,2025-08-22 19:32,2025-08-23 02:02,6.3,60.6,HIGH,126.0,False,False,True,SCHEDULED
BLK03480,ENG0327,SEC065,Engineering,2025-05-25 06:00,2025-05-25 11:15,5.2,62.8,HIGH,149.2,False,False,True,SCHEDULED
BLK03795,ENG0333,SEC072,Engineering,2025-03-28 11:00,2025-03-28 16:00,4.8,38.4,LOW,115.2,False,False,True,SCHEDULED
BLK03337,ENG0334,SEC062,Engineering,2025-03-20 06:00,2025-03-20 11:15,5.2,25.22,LOW,104.0,False,False,True,SCHEDULED
BLK02599,ENG0335,SEC047,Engineering,2025-10-06 06:00,2025-10-06 16:30,10.4,60.83,HIGH,212.2,False,False,True,SCHEDULED
BLK03651,ENG0336,SEC069,Engineering,2025-02-24 09:59,2025-02-24 11:29,1.5,61.51,HIGH,30.0,False,False,True,SCHEDULED
BLK00269,ENG0338,SEC005,Engineering,2025-06-29 06:00,2025-06-29 07:15,1.1,99.16,CRITICAL,58.1,False,False,True,SCHEDULED
BLK00633,ENG0346,SEC011,Engineering,2025-08-15 06:00,2025-08-15 12:30,6.4,41.4,MEDIUM,309.8,False,False,True,SCHEDULED
BLK02335,ENG0349,SEC042,Engineering,2025-10-19 06:00,2025-10-19 13:00,7.0,95.5,CRITICAL,203.7,False,False,True,SCHEDULED
BLK02907,ENG0350,SEC054,Engineering,2025-03-16 06:00,2025-03-16 15:00,9.0,80.71,CRITICAL,204.3,False,False,True,SCHEDULED
BLK00208,ENG0351,SEC004,Engineering,2025-05-28 06:00,2025-05-28 16:15,10.2,32.53,LOW,443.7,False,False,True,SCHEDULED
BLK00432,ENG0352,SEC008,Engineering,2025-05-16 06:00,2025-05-16 10:15,4.1,63.8,HIGH,186.5,False,False,True,SCHEDULED
BLK01823,ENG0353,SEC032,Engineering,2025-08-13 06:00,2025-08-13 11:30,5.3,24.1,LOW,185.0,False,False,True,SCHEDULED
BLK01927,ENG0355,SEC034,Engineering,2025-08-02 06:00,2025-08-02 11:00,4.8,81.61,CRITICAL,162.7,False,False,True,SCHEDULED
BLK00470,ENG0357,SEC008,Engineering,2025-11-27 06:00,2025-11-27 10:45,4.6,44.9,MEDIUM,209.3,False,False,True,SCHEDULED
BLK00876,ENG0359,SEC015,Engineering,2025-09-24 06:00,2025-09-24 12:00,5.8,84.1,CRITICAL,261.0,False,False,True,SCHEDULED
BLK01588,ENG0365,SEC028,Engineering,2025-08-05 06:00,2025-08-05 18:00,11.9,65.0,HIGH,617.6,False,False,True,SCHEDULED
BLK02116,ENG0367,SEC038,Engineering,2025-04-14 06:00,2025-04-14 12:00,6.0,40.3,MEDIUM,246.6,False,False,True,SCHEDULED
BLK03743,ENG0370,SEC071,Engineering,2025-03-31 06:00,2025-03-31 16:30,10.5,94.3,CRITICAL,233.1,False,False,True,SCHEDULED
BLK02820,ENG0371,SEC052,Engineering,2025-06-12 06:00,2025-06-12 07:00,1.0,38.4,LOW,20.0,False,False,True,SCHEDULED
BLK01448,ENG0374,SEC026,Engineering,2025-01-07 06:00,2025-01-07 16:45,10.7,63.6,HIGH,552.1,False,False,True,SCHEDULED
BLK03039,ENG0375,SEC056,Engineering,2025-04-25 06:00,2025-04-25 14:30,8.4,60.3,HIGH,239.4,False,False,True,SCHEDULED
BLK00144,ENG0378,SEC003,Engineering,2025-06-18 06:00,2025-06-18 17:00,11.0,25.8,LOW,541.2,False,False,True,SCHEDULED
BLK02875,ENG0380,SEC053,Engineering,2025-08-08 06:00,2025-08-08 16:15,10.2,82.14,CRITICAL,255.0,False,False,True,SCHEDULED
BLK03755,ENG0382,SEC071,Engineering,2025-06-27 06:00,2025-06-27 15:30,9.4,60.47,HIGH,208.7,False,False,True,SCHEDULED
BLK03603,ENG0383,SEC068,Engineering,2025-04-17 06:00,2025-04-17 16:45,10.7,36.7,LOW,327.4,False,False,True,SCHEDULED
BLK01059,ENG0386,SEC019,Engineering,2025-04-07 06:00,2025-04-07 08:30,2.3,85.39,CRITICAL,112.2,False,False,True,SCHEDULED
BLK03105,ENG0387,SEC057,Engineering,2025-09-26 06:00,2025-09-26 08:00,2.0,61.9,HIGH,69.4,False,False,True,SCHEDULED
