task_id,department,section_id,asset_id,asset_type,task_type,defect_type,severity,criticality,days_to_deadline,asset_age,failure_history,maintenance_frequency,estimated_duration_hours,required_team_size,safety_impact_encoded,train_traffic_density,expected_train_conflicts,historical_failure_rate,priority_score,priority_class,power_block_required,signal_block_required,track_block_required,status
ENG0025,Engineering,SEC045,AST0195,Track,Sleeper Replacement,Cracked sleeper,3,MEDIUM,20,29.0,4,11.08,3.0,12,2,0.28,4.2,4.74,62.3,HIGH,False,False,True,Scheduled
ENG0026,Engineering,SEC065,AST0290,Track,Rail Inspection,Worn rail head,3,MEDIUM,26,23.5,7,10.75,7.4,5,2,0.287,10.6,3.89,61.0,HIGH,False,False,True,Pending
ENG0027,Engineering,SEC007,AST0307,Track,Track Geometry Correction,Alignment defect,3,MEDIUM,18,21.0,10,11.25,7.8,12,2,0.474,18.5,4.8,65.6,HIGH,False,False,True,Pending
ENG0028,Engineering,SEC007,AST0082,Track,Ballast Maintenance,Vegetation growth,3,MEDIUM,24,9.7,10,11.25,11.2,12,2,0.474,26.5,4.8,64.3,HIGH,False,False,True,Scheduled
ENG0029,Engineering,SEC054,AST0129,Track,Turnout Maintenance,Check rail gap,4,LOW,48,26.9,10,10.58,3.5,9,1,0.227,4.0,6.59,37.7,LOW,False,False,True,Scheduled
ENG0030,Engineering,SEC015,AST0390,Track,Welding,Weld depression,2,HIGH,10,14.9,9,11.67,9.3,5,3,0.45,20.9,3.48,84.5,CRITICAL,False,False,True,Completed
ENG0031,Engineering,SEC003,AST0228,Track,Sleeper Replacement,Missing sleeper,3,MEDIUM,25,23.6,8,12.67,5.1,12,2,0.492,12.5,4.29,64.3,HIGH,False,False,True,Completed
ENG0032,Engineering,SEC066,AST0066,Track,Rail Replacement,Rail end batter,2,HIGH,13,29.0,10,11.67,6.8,6,3,0.27,9.2,3.83,81.2,CRITICAL,False,False,True,Pending
ENG0033,Engineering,SEC051,AST0126,Track,Turnout Maintenance,Point mechanism fault,4,LOW,55,10.1,10,10.25,6.4,5,1,0.258,8.3,4.19,36.6,LOW,False,False,True,Completed
ENG0034,Engineering,SEC002,AST0077,Track,Ballast Maintenance,Drainage blockage,5,LOW,85,22.0,10,12.75,9.3,7,1,0.341,15.9,5.79,23.7,LOW,False,False,True,Pending
ENG0035,Engineering,SEC035,AST0260,Track,Welding,Misaligned weld,4,LOW,30,20.5,10,10.58,5.1,12,1,0.482,12.3,4.57,45.6,MEDIUM,False,False,True,Cancelled
ENG0036,Engineering,SEC071,AST0296,Track,Track Geometry Correction,Alignment defect,1,CRITICAL,4,13.0,8,9.92,9.7,15,3,0.222,10.8,6.15,94.9,CRITICAL,False,False,True,Completed
ENG0037,Engineering,SEC071,AST0296,Track,Rail Replacement,End-post fracture,4,LOW,45,13.0,8,9.92,8.5,5,1,0.222,9.4,6.15,38.3,LOW,False,False,True,Completed
ENG0038,Engineering,SEC055,AST0205,Track,Sleeper Replacement,Decayed wooden sleeper,4,LOW,48,29.8,10,12.5,8.4,7,1,0.211,8.9,4.48,37.5,LOW,False,False,True,Cancelled
ENG0039,Engineering,SEC002,AST0227,Track,Track Geometry Correction,Cross-level error,2,HIGH,10,21.6,10,12.75,11.6,4,3,0.341,19.8,5.79,82.9,CRITICAL,False,False,True,In Progress
ENG0040,Engineering,SEC012,AST0312,Track,Ballast Maintenance,Insufficient ballast,4,LOW,33,6.7,8,12.17,6.5,9,1,0.404,13.1,4.46,43.7,MEDIUM,False,False,True,Completed
ENG0041,Engineering,SEC012,AST0087,Track,Track Alignment,Buckling risk,4,LOW,37,4.0,4,12.17,2.7,13,1,0.404,5.5,4.46,42.8,MEDIUM,False,False,True,Pending
ENG0042,Engineering,SEC054,AST0054,Track,Welding,Thermit weld defect,3,MEDIUM,26,5.5,10,10.58,7.7,12,2,0.227,8.7,6.59,60.1,HIGH,False,False,True,Completed
ENG0043,Engineering,SEC011,AST0086,Track,Rail Replacement,Broken rail,3,MEDIUM,17,14.6,10,13.25,4.2,11,2,0.484,10.2,5.46,66.0,HIGH,False,False,True,Scheduled
ENG0044,Engineering,SEC070,AST0370,Track,Rail Replacement,Rail end batter,4,LOW,38,0.5,9,10.42,8.6,4,1,0.228,9.8,3.73,40.0,LOW,False,False,True,Completed
ENG0045,Engineering,SEC004,AST0304,Track,Track Geometry Correction,Alignment defect,4,LOW,57,15.6,7,10.42,9.5,4,1,0.435,20.7,4.46,38.9,LOW,False,False,True,Completed
ENG0046,Engineering,SEC040,AST0040,Track,Rail Inspection,Gauge deviation,4,LOW,34,12.6,10,12.08,9.6,10,1,0.242,11.6,4.17,41.1,MEDIUM,False,False,True,Pending
ENG0047,Engineering,SEC005,AST0230,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,25,5.3,10,11.75,6.8,12,2,0.528,18.0,3.62,64.9,HIGH,False,False,True,Completed
ENG0048,Engineering,SEC066,AST0216,Track,Rail Replacement,Severely worn rail,3,MEDIUM,18,4.2,10,11.67,11.3,14,2,0.27,15.3,3.83,62.6,HIGH,False,False,True,Cancelled
ENG0049,Engineering,SEC017,AST0092,Track,Track Geometry Correction,Alignment defect,3,MEDIUM,17,9.2,10,10.67,9.6,15,2,0.384,18.4,3.81,64.5,HIGH,False,False,True,Scheduled
ENG0050,Engineering,SEC009,AST0159,Track,Track Geometry Correction,Cross-level error,5,LOW,78,1.5,10,11.75,3.4,3,1,0.418,7.1,4.44,26.4,LOW,False,False,True,Scheduled
ENG0051,Engineering,SEC058,AST0133,Track,Rail Inspection,Worn rail head,3,MEDIUM,20,22.3,10,10.75,11.5,15,2,0.273,15.7,4.97,62.2,HIGH,False,False,True,Scheduled
ENG0052,Engineering,SEC024,AST0399,Track,Welding,Thermit weld defect,5,LOW,59,19.7,9,12.42,6.9,12,1,0.413,14.2,5.04,30.6,LOW,False,False,True,Completed
ENG0053,Engineering,SEC013,AST0238,Track,Rail Inspection,Rail crack,3,MEDIUM,20,3.5,10,12.08,6.9,11,2,0.475,16.4,5.41,65.2,HIGH,False,False,True,In Progress
ENG0054,Engineering,SEC031,AST0181,Track,Welding,Weld depression,4,LOW,34,25.2,9,11.42,10.4,6,1,0.405,21.1,5.31,43.5,MEDIUM,False,False,True,Pending
ENG0055,Engineering,SEC012,AST0312,Track,Rail Inspection,Corrugation,3,MEDIUM,30,6.7,8,12.17,4.6,4,2,0.404,9.3,4.46,61.9,HIGH,False,False,True,Pending
ENG0056,Engineering,SEC038,AST0338,Track,Track Alignment,Vertical misalignment,4,LOW,34,2.7,10,11.25,8.2,13,1,0.411,16.9,5.15,43.6,MEDIUM,False,False,True,Pending
ENG0057,Engineering,SEC010,AST0310,Track,Rail Inspection,Surface defect,3,MEDIUM,17,6.4,7,11.0,1.5,12,2,0.468,3.5,3.88,65.7,HIGH,False,False,True,Completed
ENG0058,Engineering,SEC012,AST0387,Track,Rail Replacement,Severely worn rail,5,LOW,63,22.2,10,12.17,2.5,14,1,0.404,5.0,4.46,29.6,LOW,False,False,True,Completed
ENG0059,Engineering,SEC035,AST0185,Track,Track Geometry Correction,Twist fault,5,LOW,83,5.7,10,10.58,2.6,5,1,0.482,6.3,4.57,26.3,LOW,False,False,True,Completed
ENG0060,Engineering,SEC072,AST0372,Track,Ballast Maintenance,Fouled ballast,3,MEDIUM,20,22.2,10,11.17,1.4,4,2,0.24,1.7,4.96,61.7,HIGH,False,False,True,Pending
ENG0061,Engineering,SEC014,AST0389,Track,Track Geometry Correction,Cross-level error,2,HIGH,14,22.0,9,11.17,4.9,7,3,0.454,11.1,3.68,83.7,CRITICAL,False,False,True,Scheduled
ENG0062,Engineering,SEC027,AST0327,Track,Track Geometry Correction,Alignment defect,4,LOW,58,22.3,7,11.75,10.1,10,1,0.357,18.0,4.24,37.5,LOW,False,False,True,Scheduled
ENG0063,Engineering,SEC027,AST0177,Track,Rail Inspection,Corrugation,3,MEDIUM,28,8.2,5,11.75,7.8,11,2,0.357,13.9,4.24,61.6,HIGH,False,False,True,Completed
ENG0064,Engineering,SEC073,AST0148,Track,Rail Replacement,Broken rail,4,LOW,37,2.4,10,11.17,6.7,12,1,0.208,7.0,4.9,39.9,LOW,False,False,True,Pending
ENG0065,Engineering,SEC011,AST0011,Track,Track Geometry Correction,Cross-level error,1,CRITICAL,4,1.4,10,13.25,9.4,2,3,0.484,22.7,5.46,98.9,CRITICAL,False,False,True,Pending
ENG0066,Engineering,SEC049,AST0124,Track,Turnout Maintenance,Switch tongue wear,3,MEDIUM,19,3.5,10,10.5,10.9,10,2,0.329,17.9,4.91,63.2,HIGH,False,False,True,Completed
ENG0067,Engineering,SEC060,AST0060,Track,Rail Replacement,Severely worn rail,4,LOW,55,19.8,10,11.42,9.5,2,1,0.2,9.5,4.71,35.8,LOW,False,False,True,In Progress
ENG0068,Engineering,SEC035,AST0260,Track,Sleeper Replacement,Broken concrete sleeper,4,LOW,42,20.5,10,10.58,5.5,7,1,0.482,13.3,4.57,42.9,MEDIUM,False,False,True,Completed
ENG0069,Engineering,SEC028,AST0253,Track,Welding,Misaligned weld,4,LOW,59,26.4,10,10.92,1.1,6,1,0.519,2.9,5.33,39.7,LOW,False,False,True,Pending
ENG0070,Engineering,SEC019,AST0094,Track,Track Geometry Correction,Twist fault,4,LOW,34,27.5,8,12.17,5.5,3,1,0.488,13.4,3.64,44.8,MEDIUM,False,False,True,Pending
ENG0071,Engineering,SEC021,AST0096,Track,Ballast Maintenance,Drainage blockage,3,MEDIUM,26,4.4,10,11.42,11.7,14,2,0.436,25.5,4.5,63.3,HIGH,False,False,True,Completed
ENG0072,Engineering,SEC068,AST0143,Track,Turnout Maintenance,Check rail gap,3,MEDIUM,28,22.9,10,10.58,9.7,2,2,0.306,14.8,4.65,60.9,HIGH,False,False,True,Pending
ENG0073,Engineering,SEC074,AST0299,Track,Track Geometry Correction,Gauge irregularity,3,MEDIUM,16,4.9,10,10.33,3.1,5,2,0.24,3.7,5.14,62.5,HIGH,False,False,True,Scheduled
ENG0074,Engineering,SEC002,AST0377,Track,Track Geometry Correction,Gauge irregularity,5,LOW,55,29.9,8,12.75,11.0,13,1,0.341,18.8,5.79,30.4,LOW,False,False,True,Pending
ENG0075,Engineering,SEC053,AST0053,Track,Sleeper Replacement,Missing sleeper,3,MEDIUM,24,25.9,10,11.83,10.0,12,2,0.25,12.5,4.69,60.9,HIGH,False,False,True,Cancelled
ENG0076,Engineering,SEC070,AST0295,Track,Rail Replacement,Severely worn rail,2,HIGH,12,19.5,10,10.42,8.2,14,3,0.228,9.3,3.73,80.8,CRITICAL,False,False,True,Completed
ENG0077,Engineering,SEC040,AST0040,Track,Track Geometry Correction,Cross-level error,3,MEDIUM,21,12.6,10,12.08,9.5,6,2,0.242,11.5,4.17,61.5,HIGH,False,False,True,Scheduled
ENG0078,Engineering,SEC065,AST0365,Track,Ballast Maintenance,Fouled ballast,2,HIGH,9,4.4,10,10.75,9.6,3,3,0.287,13.8,3.89,82.3,CRITICAL,False,False,True,Completed
ENG0079,Engineering,SEC036,AST0186,Track,Rail Inspection,Corrugation,4,LOW,31,27.6,9,11.42,10.6,13,1,0.521,27.6,4.29,45.9,MEDIUM,False,False,True,Completed
ENG0080,Engineering,SEC053,AST0278,Track,Ballast Maintenance,Insufficient ballast,4,LOW,32,20.6,10,11.83,9.4,9,1,0.25,11.8,4.69,41.6,MEDIUM,False,False,True,Cancelled
ENG0081,Engineering,SEC060,AST0210,Track,Track Geometry Correction,Alignment defect,3,MEDIUM,21,19.8,10,11.42,10.3,12,2,0.2,10.3,4.71,60.8,HIGH,False,False,True,Scheduled
ENG0082,Engineering,SEC024,AST0024,Track,Ballast Maintenance,Insufficient ballast,2,HIGH,11,27.4,10,12.42,5.2,7,3,0.413,10.7,5.04,83.8,CRITICAL,False,False,True,Completed
ENG0083,Engineering,SEC001,AST0001,Track,Track Geometry Correction,Gauge irregularity,4,LOW,55,23.1,5,10.25,3.2,9,1,0.426,6.8,4.45,39.2,LOW,False,False,True,Pending
ENG0084,Engineering,SEC049,AST0349,Track,Track Geometry Correction,Cross-level error,4,LOW,27,6.5,10,10.5,4.1,3,1,0.329,6.7,4.91,43.9,MEDIUM,False,False,True,Completed
ENG0085,Engineering,SEC065,AST0065,Track,Track Geometry Correction,Alignment defect,5,LOW,59,13.8,10,10.75,5.7,10,1,0.287,8.2,3.89,28.7,LOW,False,False,True,Cancelled
ENG0086,Engineering,SEC001,AST0226,Track,Turnout Maintenance,Switch tongue wear,3,MEDIUM,29,1.5,9,10.25,5.9,3,2,0.426,12.6,4.45,62.4,HIGH,False,False,True,Completed
ENG0087,Engineering,SEC027,AST0102,Track,Rail Replacement,Rail end batter,4,LOW,42,14.1,10,11.75,4.3,10,1,0.357,7.7,4.24,41.0,MEDIUM,False,False,True,Completed
ENG0088,Engineering,SEC004,AST0379,Track,Track Geometry Correction,Gauge irregularity,1,CRITICAL,6,4.6,10,10.42,9.2,13,3,0.435,20.0,4.46,97.7,CRITICAL,False,False,True,Completed
ENG0089,Engineering,SEC020,AST0020,Track,Welding,Weld crack,2,HIGH,12,3.6,10,10.75,1.4,7,3,0.384,2.7,4.16,83.1,CRITICAL,False,False,True,Completed
ENG0090,Engineering,SEC038,AST0338,Track,Welding,Weld crack,4,LOW,34,2.7,10,11.25,4.5,14,1,0.411,9.2,5.15,43.6,MEDIUM,False,False,True,Cancelled
ENG0091,Engineering,SEC035,AST0260,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,20,20.5,10,10.58,10.0,8,2,0.482,24.1,4.57,65.3,HIGH,False,False,True,Completed
ENG0092,Engineering,SEC061,AST0361,Track,Track Geometry Correction,Cross-level error,5,LOW,66,25.0,10,11.5,6.1,11,1,0.206,6.3,4.81,25.9,LOW,False,False,True,Completed
ENG0093,Engineering,SEC038,AST0263,Track,Turnout Maintenance,Point mechanism fault,4,LOW,34,1.2,10,11.25,6.3,3,1,0.411,12.9,5.15,43.6,MEDIUM,False,False,True,Pending
ENG0094,Engineering,SEC044,AST0119,Track,Rail Replacement,End-post fracture,3,MEDIUM,22,4.4,10,12.25,9.2,8,2,0.347,16.0,5.07,62.8,HIGH,False,False,True,Pending
ENG0095,Engineering,SEC061,AST0286,Track,Rail Replacement,End-post fracture,5,LOW,55,16.0,8,11.5,4.0,5,1,0.206,4.1,4.81,28.4,LOW,False,False,True,Pending
ENG0096,Engineering,SEC067,AST0142,Track,Welding,Weld crack,3,MEDIUM,16,19.1,6,8.83,8.3,15,2,0.258,10.7,4.95,62.8,HIGH,False,False,True,Completed
ENG0097,Engineering,SEC052,AST0202,Track,Ballast Maintenance,Fouled ballast,2,HIGH,10,2.6,10,10.33,3.4,11,3,0.2,3.4,6.06,80.8,CRITICAL,False,False,True,Pending
ENG0098,Engineering,SEC075,AST0075,Track,Rail Inspection,Worn rail head,1,CRITICAL,5,26.2,7,9.83,10.0,5,3,0.2,10.0,4.64,94.4,CRITICAL,False,False,True,Pending
ENG0099,Engineering,SEC007,AST0157,Track,Rail Inspection,Corrugation,2,HIGH,15,22.6,10,11.25,8.3,3,3,0.474,19.7,4.8,83.8,CRITICAL,False,False,True,Completed
ENG0100,Engineering,SEC057,AST0207,Track,Welding,Weld depression,2,HIGH,12,19.6,9,9.08,7.3,11,3,0.347,12.7,4.81,82.5,CRITICAL,False,False,True,Pending
ENG0101,Engineering,SEC016,AST0166,Track,Rail Replacement,Rail end batter,2,HIGH,12,15.4,10,12.25,11.3,14,3,0.424,24.0,4.21,83.7,CRITICAL,False,False,True,Completed
ENG0102,Engineering,SEC046,AST0046,Track,Track Geometry Correction,Cross-level error,3,MEDIUM,25,14.7,9,10.33,7.0,13,2,0.27,9.5,6.88,61.0,HIGH,False,False,True,Scheduled
ENG0103,Engineering,SEC026,AST0251,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,22,12.4,10,11.42,11.0,7,2,0.516,28.4,7.05,65.4,HIGH,False,False,True,Completed
ENG0104,Engineering,SEC011,AST0236,Track,Turnout Maintenance,Crossing nose defect,2,HIGH,10,3.8,10,13.25,10.3,6,3,0.484,24.9,5.46,85.0,CRITICAL,False,False,True,Pending
ENG0105,Engineering,SEC063,AST0063,Track,Track Alignment,Cant deficiency,2,HIGH,14,29.4,10,10.42,7.0,13,3,0.203,7.1,3.0,79.9,HIGH,False,False,True,Completed
ENG0106,Engineering,SEC058,AST0058,Track,Rail Replacement,Rail end batter,4,LOW,37,6.6,10,10.75,1.4,2,1,0.273,1.9,4.97,40.9,MEDIUM,False,False,True,Completed
ENG0107,Engineering,SEC039,AST0039,Track,Ballast Maintenance,Drainage blockage,5,LOW,61,28.9,8,9.42,7.1,7,1,0.359,12.7,5.55,29.3,LOW,False,False,True,Pending
ENG0108,Engineering,SEC013,AST0238,Track,Track Geometry Correction,Twist fault,3,MEDIUM,30,3.5,10,12.08,9.0,5,2,0.475,21.4,5.41,63.0,HIGH,False,False,True,Scheduled
ENG0109,Engineering,SEC044,AST0119,Track,Sleeper Replacement,Broken concrete sleeper,5,LOW,59,4.4,10,12.25,8.4,13,1,0.347,14.6,5.07,29.6,LOW,False,False,True,Pending
ENG0110,Engineering,SEC020,AST0320,Track,Sleeper Replacement,Broken concrete sleeper,4,LOW,38,13.9,10,10.75,5.0,15,1,0.384,9.6,4.16,42.3,MEDIUM,False,False,True,Scheduled
ENG0111,Engineering,SEC008,AST0083,Track,Turnout Maintenance,Check rail gap,4,LOW,27,2.1,10,12.17,1.5,2,1,0.455,3.4,5.1,45.8,MEDIUM,False,False,True,Scheduled
ENG0112,Engineering,SEC065,AST0065,Track,Ballast Maintenance,Fouled ballast,3,MEDIUM,24,13.8,10,10.75,9.0,12,2,0.287,12.9,3.89,61.5,HIGH,False,False,True,In Progress
ENG0113,Engineering,SEC040,AST0040,Track,Rail Inspection,Worn rail head,4,LOW,53,12.6,10,12.08,8.3,7,1,0.242,10.0,4.17,36.9,LOW,False,False,True,Completed
ENG0114,Engineering,SEC021,AST0096,Track,Ballast Maintenance,Vegetation growth,4,LOW,56,4.4,10,11.42,8.5,9,1,0.436,18.5,4.5,39.1,LOW,False,False,True,Completed
ENG0115,Engineering,SEC067,AST0292,Track,Rail Replacement,Severely worn rail,1,CRITICAL,4,8.4,10,8.83,10.1,7,3,0.258,13.0,4.95,95.5,CRITICAL,False,False,True,Pending
ENG0116,Engineering,SEC019,AST0319,Track,Welding,Misaligned weld,4,LOW,34,27.1,10,12.17,5.3,4,1,0.488,12.9,3.64,44.8,MEDIUM,False,False,True,In Progress
ENG0117,Engineering,SEC022,AST0247,Track,Ballast Maintenance,Vegetation growth,2,HIGH,8,26.5,10,13.08,2.9,14,3,0.39,5.7,4.96,84.1,CRITICAL,False,False,True,Scheduled
ENG0118,Engineering,SEC053,AST0053,Track,Rail Replacement,Broken rail,1,CRITICAL,6,25.9,10,11.83,6.0,5,3,0.25,7.5,4.69,94.9,CRITICAL,False,False,True,Completed
ENG0119,Engineering,SEC046,AST0271,Track,Rail Replacement,Severely worn rail,3,MEDIUM,26,23.5,7,10.33,10.2,2,2,0.27,13.8,6.88,60.8,HIGH,False,False,True,Pending
ENG0120,Engineering,SEC073,AST0148,Track,Sleeper Replacement,Missing sleeper,4,LOW,50,2.4,10,11.17,2.7,12,1,0.208,2.8,4.9,37.0,LOW,False,False,True,Pending
ENG0121,Engineering,SEC032,AST0257,Track,Track Geometry Correction,Alignment defect,4,LOW,47,2.0,10,12.0,10.9,11,1,0.349,19.0,3.71,39.8,LOW,False,False,True,Scheduled
ENG0122,Engineering,SEC070,AST0220,Track,Welding,Weld crack,2,HIGH,9,12.3,10,10.42,10.6,4,3,0.228,12.1,3.73,81.4,CRITICAL,False,False,True,Cancelled
ENG0123,Engineering,SEC074,AST0074,Track,Ballast Maintenance,Drainage blockage,3,MEDIUM,19,7.1,10,10.33,4.2,2,2,0.24,5.0,5.14,61.9,HIGH,False,False,True,Pending
ENG0124,Engineering,SEC021,AST0321,Track,Rail Replacement,End-post fracture,2,HIGH,9,14.3,10,11.42,8.2,8,3,0.436,17.9,4.5,84.5,CRITICAL,False,False,True,Scheduled
ENG0125,Engineering,SEC055,AST0055,Track,Turnout Maintenance,Check rail gap,1,CRITICAL,3,28.8,10,12.5,2.1,5,3,0.211,2.2,4.48,95.0,CRITICAL,False,False,True,Completed
ENG0126,Engineering,SEC002,AST0077,Track,Ballast Maintenance,Drainage blockage,4,LOW,48,22.0,10,12.75,3.3,10,1,0.341,5.6,5.79,39.4,LOW,False,False,True,Pending
ENG0127,Engineering,SEC022,AST0172,Track,Track Geometry Correction,Gauge irregularity,3,MEDIUM,18,20.3,9,13.08,2.9,11,2,0.39,5.7,4.96,64.4,HIGH,False,False,True,Scheduled
ENG0128,Engineering,SEC040,AST0190,Track,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,12,23.0,10,12.08,11.6,7,3,0.242,14.0,4.17,81.0,CRITICAL,False,False,True,Scheduled
ENG0129,Engineering,SEC014,AST0314,Track,Welding,Weld depression,4,LOW,25,14.7,8,11.17,2.0,8,1,0.454,4.5,3.68,46.3,MEDIUM,False,False,True,Pending
ENG0130,Engineering,SEC001,AST0376,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,20,19.9,10,10.25,8.0,7,2,0.426,17.0,4.45,64.4,HIGH,False,False,True,Cancelled
ENG0131,Engineering,SEC037,AST0262,Track,Rail Replacement,Severely worn rail,3,MEDIUM,28,22.6,10,10.08,8.2,3,2,0.498,20.4,5.05,63.7,HIGH,False,False,True,Pending
ENG0132,Engineering,SEC072,AST0147,Track,Turnout Maintenance,Switch tongue wear,5,LOW,86,3.8,8,11.17,8.6,3,1,0.24,10.3,4.96,22.0,LOW,False,False,True,Completed
ENG0133,Engineering,SEC030,AST0330,Track,Ballast Maintenance,Insufficient ballast,3,MEDIUM,14,25.1,10,12.25,4.0,12,2,0.409,8.2,3.96,65.5,HIGH,False,False,True,Cancelled
ENG0134,Engineering,SEC010,AST0085,Track,Rail Replacement,Rail end batter,1,CRITICAL,3,26.7,9,11.0,6.6,7,3,0.468,15.4,3.88,98.9,CRITICAL,False,False,True,Pending
ENG0135,Engineering,SEC028,AST0028,Track,Turnout Maintenance,Crossing nose defect,1,CRITICAL,4,26.7,8,10.92,9.4,3,3,0.519,24.4,5.33,99.4,CRITICAL,False,False,True,Scheduled
ENG0136,Engineering,SEC016,AST0166,Track,Track Geometry Correction,Cross-level error,4,LOW,30,15.4,10,12.25,8.9,4,1,0.424,18.9,4.21,44.7,MEDIUM,False,False,True,Scheduled
ENG0137,Engineering,SEC035,AST0185,Track,Rail Replacement,End-post fracture,2,HIGH,14,5.7,10,10.58,10.3,5,3,0.482,24.8,4.57,84.1,CRITICAL,False,False,True,Scheduled
