task_id,section_id,department,priority_score,duration_hours,earliest_start,latest_end,deadline,train_conflict_cost,traffic_density,power_block_required,signal_block_required,track_block_required,can_combine
ENG0041,SEC012,Engineering,42.8,2.7,2025-12-18 06:00,2026-01-24 22:00,2026-01-24,109.1,0.404,False,False,True,False
ENG0043,SEC011,Engineering,66.0,4.2,2025-06-12 06:00,2025-06-29 22:00,2025-06-29,203.3,0.484,False,False,True,True
ENG0046,SEC040,Engineering,41.1,9.6,2025-07-25 06:00,2025-08-28 22:00,2025-08-28,232.3,0.242,False,False,True,True
ENG0049,SEC017,Engineering,64.5,9.6,2025-10-14 06:00,2025-10-31 22:00,2025-10-31,368.6,0.384,False,False,True,True
ENG0050,SEC009,Engineering,26.4,3.4,2025-10-13 06:00,2025-12-30 22:00,2025-12-30,142.1,0.418,False,False,True,True
ENG0051,SEC058,Engineering,62.2,11.5,2025-11-24 06:00,2025-12-14 22:00,2025-12-14,314.0,0.273,False,False,True,True
ENG0054,SEC031,Engineering,43.5,10.4,2025-05-29 06:00,2025-07-02 22:00,2025-07-02,421.2,0.405,False,False,True,True
ENG0055,SEC012,Engineering,61.9,4.6,2025-08-31 06:00,2025-09-30 22:00,2025-09-30,185.8,0.404,False,False,True,False
ENG0056,SEC038,Engineering,43.6,8.2,2025-03-01 06:00,2025-04-04 22:00,2025-04-04,337.0,0.411,False,False,True,True
ENG0060,SEC072,Engineering,61.7,1.4,2025-09-17 06:00,2025-10-07 22:00,2025-10-07,33.6,0.24,False,False,True,True
ENG0061,SEC014,Engineering,83.7,4.9,2025-11-24 06:00,2025-12-08 22:00,2025-12-08,222.5,0.454,False,False,True,True
ENG0062,SEC027,Engineering,37.5,10.1,2025-10-24 06:00,2025-12-21 22:00,2025-12-21,360.6,0.357,False,False,True,True
ENG0064,SEC073,Engineering,39.9,6.7,2025-11-02 06:00,2025-12-09 22:00,2025-12-09,139.4,0.208,False,False,True,True
ENG0065,SEC011,Engineering,98.9,9.4,2025-05-20 06:00,2025-05-24 22:00,2025-05-24,455.0,0.484,False,False,True,True
ENG0069,SEC028,Engineering,39.7,1.1,2025-03-07 06:00,2025-05-05 22:00,2025-05-05,57.1,0.519,False,False,True,False
ENG0070,SEC019,Engineering,44.8,5.5,2025-07-31 06:00,2025-09-03 22:00,2025-09-03,268.4,0.488,False,False,True,False
ENG0072,SEC068,Engineering,60.9,9.7,2025-05-01 06:00,2025-05-29 22:00,2025-05-29,296.8,0.306,False,False,True,True
ENG0073,SEC074,Engineering,62.5,3.1,2025-08-21 06:00,2025-09-06 22:00,2025-09-06,74.4,0.24,False,False,True,True
ENG0074,SEC002,Engineering,30.4,11.0,2025-06-26 06:00,2025-08-20 22:00,2025-08-20,375.1,0.341,False,False,True,True
ENG0077,SEC040,Engineering,61.5,9.5,2025-07-06 06:00,2025-07-27 22:00,2025-07-27,229.9,0.242,False,False,True,True
ENG0081,SEC060,Engineering,60.8,10.3,2025-11-11 06:00,2025-12-02 22:00,2025-12-02,206.0,0.2,False,False,True,True
ENG0083,SEC001,Engineering,39.2,3.2,2025-08-30 06:00,2025-10-24 22:00,2025-10-24,136.3,0.426,False,False,True,True
ENG0093,SEC038,Engineering,43.6,6.3,2025-07-12 06:00,2025-08-15 22:00,2025-08-15,258.9,0.411,False,False,True,True
ENG0094,SEC044,Engineering,62.8,9.2,2025-09-27 06:00,2025-10-19 22:00,2025-10-19,319.2,0.347,False,False,True,True
ENG0095,SEC061,Engineering,28.4,4.0,2025-02-20 06:00,2025-04-16 22:00,2025-04-16,82.4,0.206,False,False,True,True
ENG0097,SEC052,Engineering,80.8,3.4,2025-01-30 06:00,2025-02-09 22:00,2025-02-09,68.0,0.2,False,False,True,True
ENG0098,SEC075,Engineering,94.4,10.0,2025-09-29 06:00,2025-10-04 22:00,2025-10-04,200.0,0.2,False,False,True,True
ENG0100,SEC057,Engineering,82.5,7.3,2025-02-14 06:00,2025-02-26 22:00,2025-02-26,253.3,0.347,False,False,True,True
ENG0102,SEC046,Engineering,61.0,7.0,2025-01-19 06:00,2025-02-13 22:00,2025-02-13,189.0,0.27,False,False,True,True
ENG0104,SEC011,Engineering,85.0,10.3,2025-11-10 06:00,2025-11-20 22:00,2025-11-20,498.5,0.484,False,False,True,False
ENG0107,SEC039,Engineering,29.3,7.1,2025-07-24 06:00,2025-09-23 22:00,2025-09-23,254.9,0.359,False,False,True,True
ENG0108,SEC013,Engineering,63.0,9.0,2025-04-20 06:00,2025-05-20 22:00,2025-05-20,427.5,0.475,False,False,True,True
ENG0109,SEC044,Engineering,29.6,8.4,2025-04-19 06:00,2025-06-17 22:00,2025-06-17,291.5,0.347,False,False,True,True
ENG0110,SEC020,Engineering,42.3,5.0,2025-10-13 06:00,2025-11-20 22:00,2025-11-20,192.0,0.384,False,False,True,True
ENG0111,SEC008,Engineering,45.8,1.5,2025-04-19 06:00,2025-05-16 22:00,2025-05-16,68.2,0.455,False,False,True,True
ENG0115,SEC067,Engineering,95.5,10.1,2025-04-13 06:00,2025-04-17 22:00,2025-04-17,260.6,0.258,False,False,True,True
ENG0117,SEC022,Engineering,84.1,2.9,2025-06-28 06:00,2025-07-06 22:00,2025-07-06,113.1,0.39,False,False,True,False
ENG0119,SEC046,Engineering,60.8,10.2,2025-04-10 06:00,2025-05-06 22:00,2025-05-06,275.4,0.27,False,False,True,True
ENG0120,SEC073,Engineering,37.0,2.7,2025-10-04 06:00,2025-11-23 22:00,2025-11-23,56.2,0.208,False,False,True,True
ENG0121,SEC032,Engineering,39.8,10.9,2025-10-31 06:00,2025-12-17 22:00,2025-12-17,380.4,0.349,False,False,True,True
ENG0123,SEC074,Engineering,61.9,4.2,2025-10-30 06:00,2025-11-18 22:00,2025-11-18,100.8,0.24,False,False,True,True
ENG0124,SEC021,Engineering,84.5,8.2,2025-10-14 06:00,2025-10-23 22:00,2025-10-23,357.5,0.436,False,False,True,True
ENG0126,SEC002,Engineering,39.4,3.3,2025-10-29 06:00,2025-12-16 22:00,2025-12-16,112.5,0.341,False,False,True,False
ENG0127,SEC022,Engineering,64.4,2.9,2025-08-02 06:00,2025-08-20 22:00,2025-08-20,113.1,0.39,False,False,True,True
ENG0128,SEC040,Engineering,81.0,11.6,2025-04-05 06:00,2025-04-17 22:00,2025-04-17,280.7,0.242,False,False,True,False
ENG0129,SEC014,Engineering,46.3,2.0,2025-02-17 06:00,2025-03-14 22:00,2025-03-14,90.8,0.454,False,False,True,False
ENG0131,SEC037,Engineering,63.7,8.2,2025-10-27 06:00,2025-11-24 22:00,2025-11-24,408.4,0.498,False,False,True,False
ENG0134,SEC010,Engineering,98.9,6.6,2025-10-07 06:00,2025-10-10 22:00,2025-10-10,308.9,0.468,False,False,True,True
ENG0135,SEC028,Engineering,99.4,9.4,2025-01-26 06:00,2025-01-30 22:00,2025-01-30,487.9,0.519,False,False,True,True
ENG0136,SEC016,Engineering,44.7,8.9,2025-06-01 06:00,2025-07-01 22:00,2025-07-01,377.4,0.424,False,False,True,True
ENG0137,SEC035,Engineering,84.1,10.3,2025-07-14 06:00,2025-07-28 22:00,2025-07-28,496.5,0.482,False,False,True,True
ENG0140,SEC065,Engineering,61.0,1.9,2025-05-26 06:00,2025-06-21 22:00,2025-06-21,54.5,0.287,False,False,True,True
ENG0141,SEC073,Engineering,40.1,10.4,2025-05-26 06:00,2025-07-01 22:00,2025-07-01,216.3,0.208,False,False,True,False
ENG0143,SEC047,Engineering,62.0,1.1,2025-10-03 06:00,2025-10-19 22:00,2025-10-19,22.4,0.204,False,False,True,False
ENG0145,SEC021,Engineering,46.0,4.9,2025-04-16 06:00,2025-05-11 22:00,2025-05-11,213.6,0.436,False,False,True,True
ENG0148,SEC035,Engineering,44.0,9.7,2025-03-13 06:00,2025-04-19 22:00,2025-04-19,467.5,0.482,False,False,True,True
ENG0149,SEC007,Engineering,42.6,8.4,2025-10-05 06:00,2025-11-17 22:00,2025-11-17,398.2,0.474,False,False,True,True
ENG0151,SEC026,Engineering,65.1,2.0,2025-04-05 06:00,2025-04-28 22:00,2025-04-28,103.2,0.516,False,False,True,True
ENG0153,SEC011,Engineering,99.1,8.8,2025-08-14 06:00,2025-08-17 22:00,2025-08-17,425.9,0.484,False,False,True,True
ENG0154,SEC066,Engineering,37.0,9.9,2025-12-07 06:00,2026-01-30 22:00,2026-01-30,267.3,0.27,False,False,True,False
ENG0156,SEC028,Engineering,84.5,8.2,2025-07-23 06:00,2025-08-07 22:00,2025-08-07,425.6,0.519,False,False,True,True
ENG0158,SEC016,Engineering,63.7,8.8,2025-01-01 06:00,2025-01-24 22:00,2025-01-24,373.1,0.424,False,False,True,False
ENG0160,SEC033,Engineering,39.5,6.3,2025-03-18 06:00,2025-05-15 22:00,2025-05-15,310.0,0.492,False,False,True,True
ENG0161,SEC032,Engineering,96.2,7.6,2025-11-16 06:00,2025-11-23 22:00,2025-11-23,265.2,0.349,False,False,True,True
ENG0163,SEC033,Engineering,85.6,5.0,2025-12-05 06:00,2025-12-13 22:00,2025-12-13,246.0,0.492,False,False,True,True
ENG0164,SEC043,Engineering,61.6,5.0,2025-07-26 06:00,2025-08-21 22:00,2025-08-21,163.5,0.327,False,False,True,True
ENG0165,SEC033,Engineering,66.8,9.9,2025-10-27 06:00,2025-11-10 22:00,2025-11-10,487.1,0.492,False,False,True,True
ENG0166,SEC024,Engineering,38.5,10.9,2025-09-28 06:00,2025-11-24 22:00,2025-11-24,450.2,0.413,False,False,True,True
ENG0168,SEC005,Engineering,40.5,4.6,2025-07-14 06:00,2025-09-08 22:00,2025-09-08,242.9,0.528,False,False,True,True
ENG0169,SEC040,Engineering,62.1,7.0,2025-07-30 06:00,2025-08-17 22:00,2025-08-17,169.4,0.242,False,False,True,True
ENG0171,SEC016,Engineering,83.5,8.5,2025-06-04 06:00,2025-06-17 22:00,2025-06-17,360.4,0.424,False,False,True,False
ENG0173,SEC021,Engineering,97.7,7.4,2025-05-18 06:00,2025-05-24 22:00,2025-05-24,322.6,0.436,False,False,True,True
ENG0177,SEC006,Engineering,84.4,7.0,2025-07-18 06:00,2025-08-01 22:00,2025-08-01,350.7,0.501,False,False,True,True
ENG0181,SEC030,Engineering,65.3,10.5,2025-03-27 06:00,2025-04-11 22:00,2025-04-11,429.4,0.409,False,False,True,True
ENG0183,SEC042,Engineering,82.8,10.1,2025-08-25 06:00,2025-09-01 22:00,2025-09-01,293.9,0.291,False,False,True,True
ENG0184,SEC059,Engineering,35.1,3.8,2025-04-29 06:00,2025-06-26 22:00,2025-06-26,76.4,0.201,False,False,True,True
ENG0188,SEC058,Engineering,62.2,8.7,2025-08-13 06:00,2025-09-02 22:00,2025-09-02,237.5,0.273,False,False,True,True
ENG0190,SEC004,Engineering,98.4,7.3,2025-01-12 06:00,2025-01-15 22:00,2025-01-15,317.6,0.435,False,False,True,False
ENG0193,SEC006,Engineering,99.1,9.1,2025-09-01 06:00,2025-09-05 22:00,2025-09-05,455.9,0.501,False,False,True,True
ENG0194,SEC033,Engineering,66.1,4.2,2025-08-30 06:00,2025-09-16 22:00,2025-09-16,206.6,0.492,False,False,True,True
ENG0196,SEC032,Engineering,96.6,11.2,2025-04-16 06:00,2025-04-21 22:00,2025-04-21,390.9,0.349,False,False,True,False
ENG0206,SEC053,Engineering,61.6,6.5,2025-03-06 06:00,2025-03-27 22:00,2025-03-27,162.5,0.25,False,False,True,True
ENG0207,SEC003,Engineering,84.0,2.1,2025-05-02 06:00,2025-05-17 22:00,2025-05-17,103.3,0.492,False,False,True,True
ENG0216,SEC037,Engineering,64.0,2.6,2025-07-31 06:00,2025-08-27 22:00,2025-08-27,129.5,0.498,False,False,True,True
ENG0217,SEC001,Engineering,39.8,4.3,2025-06-12 06:00,2025-08-03 22:00,2025-08-03,183.2,0.426,False,False,True,True
ENG0218,SEC005,Engineering,46.5,5.8,2025-01-15 06:00,2025-02-13 22:00,2025-02-13,306.2,0.528,False,False,True,True
ENG0219,SEC004,Engineering,63.9,10.1,2025-02-03 06:00,2025-02-26 22:00,2025-02-26,439.4,0.435,False,False,True,True
ENG0224,SEC021,Engineering,83.2,11.1,2025-01-21 06:00,2025-02-05 22:00,2025-02-05,484.0,0.436,False,False,True,True
ENG0227,SEC030,Engineering,83.5,1.5,2025-08-14 06:00,2025-08-26 22:00,2025-08-26,61.4,0.409,False,False,True,True
ENG0228,SEC053,Engineering,94.9,10.8,2025-12-11 06:00,2025-12-17 22:00,2025-12-17,270.0,0.25,False,False,True,True
ENG0230,SEC033,Engineering,84.9,5.5,2025-07-15 06:00,2025-07-26 22:00,2025-07-26,270.6,0.492,False,False,True,True
ENG0233,SEC045,Engineering,81.1,5.1,2025-10-06 06:00,2025-10-20 22:00,2025-10-20,142.8,0.28,False,False,True,True
ENG0234,SEC002,Engineering,27.5,8.3,2025-05-26 06:00,2025-08-02 22:00,2025-08-02,283.0,0.341,False,False,True,True
ENG0236,SEC036,Engineering,85.1,9.9,2025-09-06 06:00,2025-09-18 22:00,2025-09-18,515.8,0.521,False,False,True,True
ENG0238,SEC070,Engineering,61.5,1.8,2025-07-16 06:00,2025-08-05 22:00,2025-08-05,41.0,0.228,False,False,True,True
ENG0239,SEC041,Engineering,94.8,10.7,2025-04-02 06:00,2025-04-06 22:00,2025-04-06,224.7,0.21,False,False,True,True
ENG0243,SEC034,Engineering,96.7,3.4,2025-05-30 06:00,2025-06-03 22:00,2025-06-03,115.3,0.339,False,False,True,True
ENG0244,SEC023,Engineering,97.7,4.3,2025-07-10 06:00,2025-07-17 22:00,2025-07-17,194.8,0.453,False,False,True,True
ENG0245,SEC025,Engineering,44.9,8.8,2025-09-26 06:00,2025-10-29 22:00,2025-10-29,424.2,0.482,False,False,True,True
ENG0246,SEC069,Engineering,58.8,6.2,2025-06-05 06:00,2025-07-05 22:00,2025-07-05,124.0,0.2,False,False,True,True
ENG0251,SEC003,Engineering,66.1,6.4,2025-12-03 06:00,2025-12-20 22:00,2025-12-20,314.9,0.492,False,False,True,True
ENG0254,SEC018,Engineering,63.0,2.1,2025-02-18 06:00,2025-03-16 22:00,2025-03-16,87.4,0.416,False,False,True,False
ENG0256,SEC038,Engineering,28.1,9.9,2025-03-04 06:00,2025-05-13 22:00,2025-05-13,406.9,0.411,False,False,True,True
ENG0257,SEC008,Engineering,64.0,7.8,2025-06-23 06:00,2025-07-17 22:00,2025-07-17,354.9,0.455,False,False,True,True
ENG0261,SEC032,Engineering,37.8,3.1,2025-11-19 06:00,2026-01-14 22:00,2026-01-14,108.2,0.349,False,False,True,True
ENG0263,SEC008,Engineering,64.9,8.9,2025-10-02 06:00,2025-10-22 22:00,2025-10-22,405.0,0.455,False,False,True,True
ENG0264,SEC033,Engineering,98.3,8.3,2025-07-29 06:00,2025-08-05 22:00,2025-08-05,408.4,0.492,False,False,True,True
ENG0268,SEC054,Engineering,94.8,9.2,2025-02-27 06:00,2025-03-04 22:00,2025-03-04,208.8,0.227,False,False,True,True
ENG0270,SEC030,Engineering,84.4,8.9,2025-11-06 06:00,2025-11-14 22:00,2025-11-14,364.0,0.409,False,False,True,True
ENG0273,SEC060,Engineering,39.8,3.6,2025-08-07 06:00,2025-09-13 22:00,2025-09-13,72.0,0.2,False,False,True,False
ENG0276,SEC004,Engineering,97.7,10.5,2025-10-31 06:00,2025-11-06 22:00,2025-11-06,456.8,0.435,False,False,True,True
ENG0277,SEC069,Engineering,42.4,2.9,2025-09-27 06:00,2025-10-22 22:00,2025-10-22,58.0,0.2,False,False,True,True
ENG0280,SEC050,Engineering,39.3,9.4,2025-12-05 06:00,2026-01-13 22:00,2026-01-13,188.0,0.2,False,False,True,True
ENG0286,SEC043,Engineering,61.6,9.0,2025-01-28 06:00,2025-02-23 22:00,2025-02-23,294.3,0.327,False,False,True,True
ENG0290,SEC040,Engineering,26.9,6.9,2025-09-11 06:00,2025-11-14 22:00,2025-11-14,167.0,0.242,False,False,True,True
ENG0291,SEC003,Engineering,64.8,2.0,2025-08-23 06:00,2025-09-15 22:00,2025-09-15,98.4,0.492,False,False,True,True
ENG0292,SEC040,Engineering,61.0,2.2,2025-04-26 06:00,2025-05-19 22:00,2025-05-19,53.2,0.242,False,False,True,True
ENG0293,SEC019,Engineering,39.0,2.0,2025-07-29 06:00,2025-09-27 22:00,2025-09-27,97.6,0.488,False,False,True,False
ENG0295,SEC006,Engineering,85.7,8.1,2025-02-04 06:00,2025-02-12 22:00,2025-02-12,405.8,0.501,False,False,True,True
ENG0296,SEC071,Engineering,80.0,3.7,2025-10-25 06:00,2025-11-09 22:00,2025-11-09,82.1,0.222,False,False,True,True
ENG0298,SEC012,Engineering,40.8,10.1,2025-08-23 06:00,2025-10-08 22:00,2025-10-08,408.0,0.404,False,False,True,True
ENG0301,SEC006,Engineering,32.1,2.9,2025-05-14 06:00,2025-07-11 22:00,2025-07-11,145.3,0.501,False,False,True,True
ENG0303,SEC019,Engineering,84.0,8.1,2025-12-06 06:00,2025-12-21 22:00,2025-12-21,395.3,0.488,False,False,True,True
ENG0304,SEC015,Engineering,40.0,3.9,2025-06-14 06:00,2025-08-06 22:00,2025-08-06,175.5,0.45,False,False,True,True
ENG0305,SEC020,Engineering,37.6,10.7,2025-10-01 06:00,2025-11-29 22:00,2025-11-29,410.9,0.384,False,False,True,True
ENG0307,SEC022,Engineering,62.6,5.0,2025-11-11 06:00,2025-12-07 22:00,2025-12-07,195.0,0.39,False,False,True,False
ENG0309,SEC010,Engineering,65.5,3.1,2025-04-11 06:00,2025-04-29 22:00,2025-04-29,145.1,0.468,False,False,True,True
ENG0312,SEC009,Engineering,98.1,5.0,2025-06-03 06:00,2025-06-06 22:00,2025-06-06,209.0,0.418,False,False,True,True
ENG0313,SEC040,Engineering,62.8,11.5,2025-08-21 06:00,2025-09-05 22:00,2025-09-05,278.3,0.242,False,False,True,True
ENG0317,SEC002,Engineering,63.2,11.8,2025-05-18 06:00,2025-06-07 22:00,2025-06-07,402.4,0.341,False,False,True,True
ENG0318,SEC019,Engineering,42.3,9.1,2025-09-28 06:00,2025-11-12 22:00,2025-11-12,444.1,0.488,False,False,True,True
ENG0319,SEC020,Engineering,64.5,7.4,2025-09-21 06:00,2025-10-08 22:00,2025-10-08,284.2,0.384,False,False,True,True
ENG0322,SEC009,Engineering,43.3,3.6,2025-07-07 06:00,2025-08-12 22:00,2025-08-12,150.5,0.418,False,False,True,False
ENG0323,SEC006,Engineering,30.8,5.1,2025-04-28 06:00,2025-07-01 22:00,2025-07-01,255.5,0.501,False,False,True,True
ENG0324,SEC011,Engineering,85.5,7.3,2025-07-06 06:00,2025-07-14 22:00,2025-07-14,353.3,0.484,False,False,True,True
ENG0325,SEC050,Engineering,60.6,6.3,2025-08-22 06:00,2025-09-13 22:00,2025-09-13,126.0,0.2,False,False,True,True
ENG0327,SEC065,Engineering,62.8,5.2,2025-05-25 06:00,2025-06-12 22:00,2025-06-12,149.2,0.287,False,False,True,True
ENG0333,SEC072,Engineering,38.4,4.8,2025-03-28 06:00,2025-05-13 22:00,2025-05-13,115.2,0.24,False,False,True,True
ENG0334,SEC062,Engineering,23.6,5.2,2025-03-20 06:00,2025-06-04 22:00,2025-06-04,104.0,0.2,False,False,True,False
ENG0335,SEC047,Engineering,60.9,10.4,2025-10-06 06:00,2025-10-27 22:00,2025-10-27,212.2,0.204,False,False,True,True
ENG0336,SEC069,Engineering,61.3,1.5,2025-02-24 06:00,2025-03-15 22:00,2025-03-15,30.0,0.2,False,False,True,True
ENG0338,SEC005,Engineering,99.3,1.1,2025-06-29 06:00,2025-07-04 22:00,2025-07-04,58.1,0.528,False,False,True,True
ENG0346,SEC011,Engineering,41.4,6.4,2025-08-15 06:00,2025-10-03 22:00,2025-10-03,309.8,0.484,False,False,True,True
ENG0349,SEC042,Engineering,95.5,7.0,2025-10-19 06:00,2025-10-25 22:00,2025-10-25,203.7,0.291,False,False,True,True
ENG0350,SEC054,Engineering,80.7,9.0,2025-03-16 06:00,2025-03-28 22:00,2025-03-28,204.3,0.227,False,False,True,False
ENG0351,SEC004,Engineering,31.4,10.2,2025-05-28 06:00,2025-07-24 22:00,2025-07-24,443.7,0.435,False,False,True,False
ENG0352,SEC008,Engineering,63.8,4.1,2025-05-16 06:00,2025-06-10 22:00,2025-06-10,186.5,0.455,False,False,True,True
ENG0353,SEC032,Engineering,24.1,5.3,2025-08-13 06:00,2025-11-05 22:00,2025-11-05,185.0,0.349,False,False,True,True
ENG0355,SEC034,Engineering,81.8,4.8,2025-08-02 06:00,2025-08-17 22:00,2025-08-17,162.7,0.339,False,False,True,True
ENG0357,SEC008,Engineering,44.9,4.6,2025-11-27 06:00,2025-12-28 22:00,2025-12-28,209.3,0.455,False,False,True,True
ENG0359,SEC015,Engineering,84.1,5.8,2025-09-24 06:00,2025-10-06 22:00,2025-10-06,261.0,0.45,False,False,True,True
ENG0365,SEC028,Engineering,65.0,11.9,2025-08-05 06:00,2025-08-29 22:00,2025-08-29,617.6,0.519,False,False,True,True
ENG0367,SEC038,Engineering,40.3,6.0,2025-04-14 06:00,2025-06-02 22:00,2025-06-02,246.6,0.411,False,False,True,True
ENG0370,SEC071,Engineering,94.3,10.5,2025-03-31 06:00,2025-04-07 22:00,2025-04-07,233.1,0.222,False,False,True,True
ENG0371,SEC052,Engineering,38.4,1.0,2025-06-12 06:00,2025-07-25 22:00,2025-07-25,20.0,0.2,False,False,True,True
ENG0374,SEC026,Engineering,63.6,10.7,2025-01-07 06:00,2025-02-06 22:00,2025-02-06,552.1,0.516,False,False,True,True
ENG0375,SEC056,Engineering,60.3,8.4,2025-04-25 06:00,2025-05-24 22:00,2025-05-24,239.4,0.285,False,False,True,False
ENG0378,SEC003,Engineering,25.8,11.0,2025-06-18 06:00,2025-09-12 22:00,2025-09-12,541.2,0.492,False,False,True,True
ENG0380,SEC053,Engineering,82.2,10.2,2025-08-08 06:00,2025-08-15 22:00,2025-08-15,255.0,0.25,False,False,True,True
ENG0382,SEC071,Engineering,59.6,9.4,2025-06-27 06:00,2025-07-25 22:00,2025-07-25,208.7,0.222,False,False,True,True
ENG0383,SEC068,Engineering,36.7,10.7,2025-04-17 06:00,2025-06-14 22:00,2025-06-14,327.4,0.306,False,False,True,True
ENG0386,SEC019,Engineering,85.5,2.3,2025-04-07 06:00,2025-04-15 22:00,2025-04-15,112.2,0.488,False,False,True,True
ENG0387,SEC057,Engineering,61.9,2.0,2025-09-26 06:00,2025-10-22 22:00,2025-10-22,69.4,0.347,False,False,True,True
ENG0391,SEC003,Engineering,43.3,6.4,2025-12-06 06:00,2026-01-16 22:00,2026-01-16,314.9,0.492,False,False,True,False
ENG0392,SEC044,Engineering,40.6,10.7,2025-04-08 06:00,2025-05-21 22:00,2025-05-21,371.3,0.347,False,False,True,False
ENG0393,SEC001,Engineering,64.2,1.8,2025-09-05 06:00,2025-09-26 22:00,2025-09-26,76.7,0.426,False,False,True,True
ENG0394,SEC001,Engineering,63.8,9.4,2025-09-19 06:00,2025-10-12 22:00,2025-10-12,400.4,0.426,False,False,True,True
ENG0395,SEC056,Engineering,40.2,4.8,2025-06-20 06:00,2025-07-31 22:00,2025-07-31,136.8,0.285,False,False,True,True
ENG0400,SEC009,Engineering,42.4,9.0,2025-01-29 06:00,2025-03-10 22:00,2025-03-10,376.2,0.418,False,False,True,True
ENG0402,SEC021,Engineering,40.4,4.6,2025-05-22 06:00,2025-07-11 22:00,2025-07-11,200.6,0.436,False,False,True,True
ENG0403,SEC005,Engineering,66.4,6.5,2025-04-01 06:00,2025-04-19 22:00,2025-04-19,343.2,0.528,False,False,True,True
ENG0405,SEC048,Engineering,39.2,5.3,2025-01-16 06:00,2025-03-03 22:00,2025-03-03,155.3,0.293,False,False,True,True
ENG0406,SEC026,Engineering,85.7,7.5,2025-02-17 06:00,2025-02-26 22:00,2025-02-26,387.0,0.516,False,False,True,True
ENG0408,SEC011,Engineering,84.8,5.1,2025-10-01 06:00,2025-10-12 22:00,2025-10-12,246.8,0.484,False,False,True,True
ENG0409,SEC005,Engineering,98.9,8.7,2025-08-23 06:00,2025-08-30 22:00,2025-08-30,459.4,0.528,False,False,True,True
ENG0413,SEC069,Engineering,26.9,8.4,2025-08-12 06:00,2025-10-12 22:00,2025-10-12,168.0,0.2,False,False,True,True
ENG0414,SEC069,Engineering,35.6,11.1,2025-03-16 06:00,2025-05-11 22:00,2025-05-11,222.0,0.2,False,False,True,True
ENG0415,SEC070,Engineering,37.8,1.7,2025-09-10 06:00,2025-10-28 22:00,2025-10-28,38.8,0.228,False,False,True,True
ENG0417,SEC005,Engineering,84.6,8.2,2025-09-23 06:00,2025-10-08 22:00,2025-10-08,433.0,0.528,False,False,True,False
ENG0418,SEC047,Engineering,60.9,11.5,2025-10-30 06:00,2025-11-20 22:00,2025-11-20,234.6,0.204,False,False,True,True
ENG0420,SEC035,Engineering,65.7,1.1,2025-10-14 06:00,2025-11-01 22:00,2025-11-01,53.0,0.482,False,False,True,True
