task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,power_block_required,days_until_due,urgency_category
TRC0119,AST0689,SEC014,Pantograph interface,Switchgear Maintenance,Circuit breaker fault,2,HIGH,2025-06-30,2025-07-01,2025-07-14,9.0,2,HIGH,Cancelled,False,13,Normal
TRC0120,AST0694,SEC019,Sectioning equipment,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-08-20,2025-08-23,2025-09-09,4.4,13,MEDIUM,Completed,True,17,Normal
TRC0121,AST0470,SEC020,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-02-09,2025-02-10,2025-04-07,6.0,5,LOW,Completed,True,56,Low
TRC0122,AST0649,SEC049,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-09-30,2025-09-30,2025-10-30,3.6,7,MEDIUM,Pending,False,30,Normal
TRC0123,AST0651,SEC051,Catenary,OHE Mast Repair,Bracket damage,2,HIGH,2025-06-14,2025-06-14,2025-06-29,3.6,12,HIGH,Completed,True,15,Normal
TRC0124,AST0574,SEC049,Sectioning equipment,Catenary Maintenance,Splice joint fault,4,LOW,2025-01-29,2025-01-29,2025-03-15,12.0,12,LOW,In Progress,True,45,Low
TRC0125,AST0559,SEC034,Electrical switchgear,Switchgear Maintenance,Circuit breaker fault,3,MEDIUM,2025-03-02,2025-03-05,2025-04-03,4.9,2,MEDIUM,Scheduled,False,29,Normal
TRC0126,AST0604,SEC004,Transformer,Switchgear Maintenance,Circuit breaker fault,4,LOW,2025-01-06,2025-01-07,2025-02-02,3.3,5,LOW,Scheduled,False,26,Normal
TRC0127,AST0527,SEC002,Electrical switchgear,Transformer Servicing,Oil leak,2,HIGH,2025-07-18,2025-07-21,2025-07-31,7.4,6,HIGH,Pending,False,10,Normal
TRC0128,AST0528,SEC003,OHE,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-06-02,2025-06-03,2025-07-17,3.4,12,LOW,Pending,True,44,Low
TRC0129,AST0578,SEC053,Insulator,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-04-18,2025-04-20,2025-05-13,3.3,12,MEDIUM,Completed,True,23,Normal
TRC0130,AST0523,SEC073,Catenary,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-11-25,2025-11-28,2025-12-22,4.7,13,MEDIUM,Scheduled,True,24,Normal
TRC0131,AST0622,SEC022,Sectioning equipment,OHE Inspection,Height deviation,2,HIGH,2025-01-15,2025-01-17,2025-01-28,10.9,15,HIGH,Pending,True,11,Normal
TRC0132,AST0594,SEC069,Insulator,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-06-04,2025-06-04,2025-07-04,2.4,9,MEDIUM,In Progress,True,30,Normal
TRC0133,AST0627,SEC027,Catenary,Transformer Servicing,Winding fault,1,CRITICAL,2025-12-09,2025-12-09,2025-12-14,9.1,7,HIGH,In Progress,True,5,Urgent
TRC0134,AST0598,SEC073,Sectioning equipment,Insulator Replacement,Mechanical failure,2,HIGH,2025-05-30,2025-05-30,2025-06-13,9.7,11,HIGH,Scheduled,True,14,Normal
TRC0135,AST0521,SEC071,Pantograph interface,Catenary Maintenance,Catenary sag,4,LOW,2025-03-15,2025-03-17,2025-04-19,7.3,12,LOW,In Progress,False,33,Low
TRC0136,AST0488,SEC038,OHE,Switchgear Maintenance,Relay malfunction,4,LOW,2025-11-27,2025-11-28,2026-01-23,4.2,8,LOW,Completed,True,56,Low
TRC0137,AST0464,SEC014,OHE,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-05-04,2025-05-04,2025-05-24,3.7,2,MEDIUM,Pending,True,20,Normal
TRC0138,AST0411,SEC036,Catenary,Switchgear Maintenance,Circuit breaker fault,1,CRITICAL,2025-03-21,2025-03-23,2025-03-28,9.3,8,HIGH,Pending,False,5,Urgent
TRC0139,AST0675,SEC075,Catenary,Feeder Repair,Insulation breakdown,4,LOW,2025-08-19,2025-08-22,2025-09-28,9.2,10,LOW,Scheduled,True,37,Low
TRC0140,AST0642,SEC042,Insulator,OHE Inspection,Contact wire wear,3,MEDIUM,2025-06-10,2025-06-10,2025-07-01,10.2,9,MEDIUM,Scheduled,True,21,Normal
TRC0141,AST0698,SEC023,Insulator,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-07-28,2025-07-31,2025-08-18,11.2,6,MEDIUM,Scheduled,True,18,Normal
TRC0142,AST0426,SEC051,Insulator,Feeder Repair,Cable damage,5,LOW,2025-01-09,2025-01-10,2025-02-28,10.9,14,LOW,Completed,False,49,Low
TRC0143,AST0532,SEC007,Transformer,Insulator Replacement,Mechanical failure,5,LOW,2024-12-31,2025-01-02,2025-02-27,7.8,4,LOW,Scheduled,False,56,Low
TRC0144,AST0508,SEC058,Transformer,Feeder Repair,Cable damage,3,MEDIUM,2025-03-04,2025-03-04,2025-03-23,4.6,8,MEDIUM,Completed,True,19,Normal
TRC0145,AST0607,SEC007,Electrical switchgear,OHE Mast Repair,Bracket damage,1,CRITICAL,2025-07-21,2025-07-23,2025-07-30,8.0,13,HIGH,Completed,False,7,Urgent
TRC0146,AST0610,SEC010,Insulator,Insulator Replacement,Flashover damage,2,HIGH,2025-06-04,2025-06-07,2025-06-22,11.5,7,HIGH,Completed,False,15,Normal
TRC0147,AST0690,SEC015,Insulator,Feeder Repair,Overheating,3,MEDIUM,2025-10-06,2025-10-06,2025-11-02,2.1,8,MEDIUM,Pending,False,27,Normal
TRC0148,AST0611,SEC011,Catenary,Feeder Repair,Joint failure,2,HIGH,2025-11-26,2025-11-26,2025-12-07,8.5,7,HIGH,Pending,True,11,Normal
TRC0149,AST0648,SEC048,OHE,OHE Inspection,Height deviation,3,MEDIUM,2025-10-04,2025-10-04,2025-10-20,11.8,12,MEDIUM,Cancelled,True,16,Normal
