task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,power_block_required
TRC0081,AST0640,SEC040,OHE,Insulator Replacement,Cracked insulator,4,LOW,2025-01-25,2025-01-27,2025-02-26,2.1,3,LOW,Completed,True
TRC0082,AST0442,SEC067,Insulator,Insulator Replacement,Mechanical failure,2,HIGH,2025-05-04,2025-05-04,2025-05-18,5.0,9,HIGH,Pending,False
TRC0083,AST0460,SEC010,Transformer,Feeder Repair,Overheating,3,MEDIUM,2025-11-18,2025-11-20,2025-12-17,5.6,3,MEDIUM,Completed,False
TRC0084,AST0628,SEC028,Transformer,Transformer Servicing,Cooling system failure,3,MEDIUM,2025-09-07,2025-09-09,2025-09-24,5.6,9,MEDIUM,Pending,False
TRC0085,AST0416,SEC041,OHE,Switchgear Maintenance,Circuit breaker fault,3,MEDIUM,2025-08-16,2025-08-16,2025-09-03,6.8,11,MEDIUM,Pending,True
TRC0086,AST0662,SEC062,Sectioning equipment,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-10-24,2025-10-27,2025-11-19,2.0,3,MEDIUM,Scheduled,True
TRC0087,AST0523,SEC073,Catenary,Transformer Servicing,Oil leak,3,MEDIUM,2025-05-10,2025-05-13,2025-05-30,6.7,3,MEDIUM,Pending,True
TRC0088,AST0550,SEC025,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,3,MEDIUM,2025-10-31,2025-11-03,2025-11-17,10.9,13,MEDIUM,Completed,True
TRC0089,AST0453,SEC003,Feeder,Feeder Repair,Cable damage,1,CRITICAL,2025-09-23,2025-09-24,2025-09-27,10.4,7,HIGH,Completed,True
TRC0090,AST0456,SEC006,OHE,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-04-15,2025-04-15,2025-05-17,3.2,12,LOW,Completed,True
TRC0091,AST0611,SEC011,Catenary,Insulator Replacement,Flashover damage,3,MEDIUM,2025-07-25,2025-07-25,2025-08-16,6.0,6,MEDIUM,Completed,True
TRC0092,AST0673,SEC073,Pantograph interface,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-06-21,2025-06-22,2025-07-18,6.5,11,MEDIUM,Completed,True
TRC0093,AST0473,SEC023,Pantograph interface,Sectioning Post Maintenance,Isolator defect,4,LOW,2025-08-28,2025-08-30,2025-10-19,7.7,12,LOW,Completed,False
TRC0094,AST0437,SEC062,Feeder,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-02-26,2025-02-26,2025-03-16,2.7,15,MEDIUM,Completed,True
TRC0095,AST0465,SEC015,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,1,CRITICAL,2025-12-14,2025-12-14,2025-12-20,10.8,9,HIGH,Completed,True
TRC0096,AST0572,SEC047,Transformer,Sectioning Post Maintenance,Jumper damage,2,HIGH,2025-03-31,2025-04-01,2025-04-11,2.8,15,HIGH,Pending,True
TRC0097,AST0606,SEC006,Sectioning equipment,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-06-20,2025-06-21,2025-07-16,10.4,5,MEDIUM,Pending,True
TRC0098,AST0473,SEC023,Pantograph interface,Transformer Servicing,Cooling system failure,4,LOW,2025-10-14,2025-10-17,2025-11-29,7.4,11,LOW,In Progress,False
TRC0099,AST0478,SEC028,Sectioning equipment,Transformer Servicing,Bushing defect,3,MEDIUM,2025-04-01,2025-04-04,2025-04-26,10.7,6,MEDIUM,Pending,True
TRC0100,AST0621,SEC021,Feeder,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-10-27,2025-10-29,2025-11-16,7.6,13,MEDIUM,Pending,True
TRC0101,AST0598,SEC073,Sectioning equipment,Catenary Maintenance,Registration arm damage,2,HIGH,2025-06-26,2025-06-28,2025-07-11,1.3,6,HIGH,Scheduled,True
TRC0102,AST0537,SEC012,Pantograph interface,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-08-08,2025-08-11,2025-09-04,8.3,13,MEDIUM,Cancelled,True
TRC0103,AST0679,SEC004,Electrical switchgear,Insulator Replacement,Flashover damage,1,CRITICAL,2025-02-08,2025-02-10,2025-02-15,3.2,4,HIGH,In Progress,False
TRC0104,AST0423,SEC048,Electrical switchgear,Feeder Repair,Joint failure,5,LOW,2025-08-13,2025-08-14,2025-10-11,11.1,6,LOW,Completed,False
TRC0105,AST0553,SEC028,Pantograph interface,OHE Mast Repair,Corrosion,1,CRITICAL,2025-09-05,2025-09-06,2025-09-11,6.2,4,HIGH,Scheduled,False
TRC0106,AST0414,SEC039,Sectioning equipment,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-10-28,2025-10-30,2025-11-22,2.5,3,MEDIUM,Pending,True
TRC0107,AST0470,SEC020,Sectioning equipment,Feeder Repair,Cable damage,4,LOW,2025-10-31,2025-11-02,2025-12-08,9.2,7,LOW,Pending,True
TRC0108,AST0659,SEC059,Catenary,OHE Inspection,Stagger fault,2,HIGH,2025-04-21,2025-04-21,2025-04-29,5.2,8,HIGH,Completed,True
TRC0109,AST0658,SEC058,Insulator,OHE Mast Repair,Guy wire slack,3,MEDIUM,2025-11-15,2025-11-16,2025-12-03,1.9,12,MEDIUM,Completed,True
TRC0110,AST0617,SEC017,Pantograph interface,Switchgear Maintenance,Arc damage,1,CRITICAL,2025-09-19,2025-09-21,2025-09-27,3.9,12,HIGH,Completed,False
TRC0111,AST0420,SEC045,Transformer,Feeder Repair,Joint failure,3,MEDIUM,2025-10-02,2025-10-03,2025-10-23,1.2,10,MEDIUM,Completed,False
TRC0112,AST0592,SEC067,OHE,Switchgear Maintenance,Contactor wear,3,MEDIUM,2025-07-16,2025-07-19,2025-08-04,8.7,3,MEDIUM,Completed,True
TRC0113,AST0537,SEC012,Pantograph interface,Feeder Repair,Cable damage,3,MEDIUM,2025-11-15,2025-11-15,2025-12-09,6.2,15,MEDIUM,Pending,True
TRC0114,AST0436,SEC061,Transformer,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-11-24,2025-11-27,2026-01-13,10.5,6,LOW,Scheduled,True
TRC0115,AST0680,SEC005,OHE,Insulator Replacement,Pollution deposit,5,LOW,2025-01-23,2025-01-25,2025-04-09,11.5,2,LOW,Pending,True
TRC0116,AST0604,SEC004,Transformer,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-10-28,2025-10-30,2025-12-26,6.2,11,LOW,Completed,True
TRC0117,AST0431,SEC056,Electrical switchgear,Feeder Repair,Overheating,4,LOW,2025-06-14,2025-06-15,2025-07-19,10.2,6,LOW,In Progress,True
TRC0118,AST0518,SEC068,Sectioning equipment,Sectioning Post Maintenance,Interrupter fault,5,LOW,2025-07-13,2025-07-16,2025-10-09,4.0,2,LOW,Completed,True
TRC0119,AST0689,SEC014,Pantograph interface,Switchgear Maintenance,Circuit breaker fault,2,HIGH,2025-06-30,2025-07-01,2025-07-14,9.0,2,HIGH,Cancelled,False
TRC0120,AST0694,SEC019,Sectioning equipment,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-08-20,2025-08-23,2025-09-09,4.4,13,MEDIUM,Completed,True
TRC0121,AST0470,SEC020,Sectioning equipment,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-02-09,2025-02-10,2025-04-07,6.0,5,LOW,Completed,True
TRC0122,AST0649,SEC049,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-09-30,2025-09-30,2025-10-30,3.6,7,MEDIUM,Pending,False
TRC0123,AST0651,SEC051,Catenary,OHE Mast Repair,Bracket damage,2,HIGH,2025-06-14,2025-06-14,2025-06-29,3.6,12,HIGH,Completed,True
TRC0124,AST0574,SEC049,Sectioning equipment,Catenary Maintenance,Splice joint fault,4,LOW,2025-01-29,2025-01-29,2025-03-15,12.0,12,LOW,In Progress,True
TRC0125,AST0559,SEC034,Electrical switchgear,Switchgear Maintenance,Circuit breaker fault,3,MEDIUM,2025-03-02,2025-03-05,2025-04-03,4.9,2,MEDIUM,Scheduled,False
TRC0126,AST0604,SEC004,Transformer,Switchgear Maintenance,Circuit breaker fault,4,LOW,2025-01-06,2025-01-07,2025-02-02,3.3,5,LOW,Scheduled,False
TRC0127,AST0527,SEC002,Electrical switchgear,Transformer Servicing,Oil leak,2,HIGH,2025-07-18,2025-07-21,2025-07-31,7.4,6,HIGH,Pending,False
TRC0128,AST0528,SEC003,OHE,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-06-02,2025-06-03,2025-07-17,3.4,12,LOW,Pending,True
TRC0129,AST0578,SEC053,Insulator,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-04-18,2025-04-20,2025-05-13,3.3,12,MEDIUM,Completed,True
TRC0130,AST0523,SEC073,Catenary,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-11-25,2025-11-28,2025-12-22,4.7,13,MEDIUM,Scheduled,True
TRC0131,AST0622,SEC022,Sectioning equipment,OHE Inspection,Height deviation,2,HIGH,2025-01-15,2025-01-17,2025-01-28,10.9,15,HIGH,Pending,True
TRC0132,AST0594,SEC069,Insulator,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-06-04,2025-06-04,2025-07-04,2.4,9,MEDIUM,In Progress,True
TRC0133,AST0627,SEC027,Catenary,Transformer Servicing,Winding fault,1,CRITICAL,2025-12-09,2025-12-09,2025-12-14,9.1,7,HIGH,In Progress,True
TRC0134,AST0598,SEC073,Sectioning equipment,Insulator Replacement,Mechanical failure,2,HIGH,2025-05-30,2025-05-30,2025-06-13,9.7,11,HIGH,Scheduled,True
TRC0135,AST0521,SEC071,Pantograph interface,Catenary Maintenance,Catenary sag,4,LOW,2025-03-15,2025-03-17,2025-04-19,7.3,12,LOW,In Progress,False
TRC0136,AST0488,SEC038,OHE,Switchgear Maintenance,Relay malfunction,4,LOW,2025-11-27,2025-11-28,2026-01-23,4.2,8,LOW,Completed,True
TRC0137,AST0464,SEC014,OHE,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-05-04,2025-05-04,2025-05-24,3.7,2,MEDIUM,Pending,True
TRC0138,AST0411,SEC036,Catenary,Switchgear Maintenance,Circuit breaker fault,1,CRITICAL,2025-03-21,2025-03-23,2025-03-28,9.3,8,HIGH,Pending,False
TRC0139,AST0675,SEC075,Catenary,Feeder Repair,Insulation breakdown,4,LOW,2025-08-19,2025-08-22,2025-09-28,9.2,10,LOW,Scheduled,True
TRC0140,AST0642,SEC042,Insulator,OHE Inspection,Contact wire wear,3,MEDIUM,2025-06-10,2025-06-10,2025-07-01,10.2,9,MEDIUM,Scheduled,True
TRC0141,AST0698,SEC023,Insulator,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-07-28,2025-07-31,2025-08-18,11.2,6,MEDIUM,Scheduled,True
TRC0142,AST0426,SEC051,Insulator,Feeder Repair,Cable damage,5,LOW,2025-01-09,2025-01-10,2025-02-28,10.9,14,LOW,Completed,False
TRC0143,AST0532,SEC007,Transformer,Insulator Replacement,Mechanical failure,5,LOW,2024-12-31,2025-01-02,2025-02-27,7.8,4,LOW,Scheduled,False
TRC0144,AST0508,SEC058,Transformer,Feeder Repair,Cable damage,3,MEDIUM,2025-03-04,2025-03-04,2025-03-23,4.6,8,MEDIUM,Completed,True
TRC0145,AST0607,SEC007,Electrical switchgear,OHE Mast Repair,Bracket damage,1,CRITICAL,2025-07-21,2025-07-23,2025-07-30,8.0,13,HIGH,Completed,False
TRC0146,AST0610,SEC010,Insulator,Insulator Replacement,Flashover damage,2,HIGH,2025-06-04,2025-06-07,2025-06-22,11.5,7,HIGH,Completed,False
TRC0147,AST0690,SEC015,Insulator,Feeder Repair,Overheating,3,MEDIUM,2025-10-06,2025-10-06,2025-11-02,2.1,8,MEDIUM,Pending,False
TRC0148,AST0611,SEC011,Catenary,Feeder Repair,Joint failure,2,HIGH,2025-11-26,2025-11-26,2025-12-07,8.5,7,HIGH,Pending,True
TRC0149,AST0648,SEC048,OHE,OHE Inspection,Height deviation,3,MEDIUM,2025-10-04,2025-10-04,2025-10-20,11.8,12,MEDIUM,Cancelled,True
TRC0150,AST0443,SEC068,Catenary,OHE Mast Repair,Corrosion,4,LOW,2025-02-23,2025-02-23,2025-03-20,4.9,8,LOW,Scheduled,True
TRC0151,AST0671,SEC071,Electrical switchgear,Catenary Maintenance,Registration arm damage,5,LOW,2025-12-19,2025-12-21,2026-02-28,9.8,3,LOW,Scheduled,True
TRC0152,AST0555,SEC030,Catenary,Sectioning Post Maintenance,Isolator defect,4,LOW,2025-01-13,2025-01-14,2025-03-08,5.2,10,LOW,Cancelled,True
TRC0153,AST0599,SEC074,Electrical switchgear,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-03-12,2025-03-13,2025-05-07,4.9,15,LOW,Pending,True
TRC0154,AST0520,SEC070,OHE,Transformer Servicing,Bushing defect,2,HIGH,2025-06-28,2025-06-30,2025-07-11,8.4,15,HIGH,Scheduled,True
TRC0155,AST0470,SEC020,Sectioning equipment,Switchgear Maintenance,Relay malfunction,1,CRITICAL,2025-09-20,2025-09-23,2025-09-30,1.9,14,HIGH,Pending,True
TRC0156,AST0489,SEC039,Pantograph interface,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-02-15,2025-02-15,2025-03-13,10.1,13,MEDIUM,Completed,True
TRC0157,AST0667,SEC067,Catenary,Feeder Repair,Joint failure,4,LOW,2025-01-09,2025-01-12,2025-03-11,2.4,12,LOW,Pending,True
TRC0158,AST0495,SEC045,Electrical switchgear,OHE Inspection,Dropper defect,4,LOW,2025-12-01,2025-12-03,2025-12-31,2.5,10,LOW,Completed,False
TRC0159,AST0491,SEC041,Catenary,Sectioning Post Maintenance,Jumper damage,3,MEDIUM,2025-08-13,2025-08-14,2025-08-31,3.7,8,MEDIUM,Scheduled,True
