forecast_date,section_id,time_window_start,time_window_end,expected_goods_trains,expected_traffic_load,traffic_density,forecast_confidence
2025-01-01,SEC017,06:00,08:00,1,34.55,MEDIUM,0.75
2025-01-01,SEC017,08:00,10:00,3,23.82,LOW,0.8
2025-01-01,SEC017,10:00,12:00,2,28.9,MEDIUM,0.71
2025-01-01,SEC017,12:00,14:00,1,25.67,MEDIUM,0.88
2025-01-01,SEC017,14:00,16:00,0,24.76,LOW,0.81
2025-01-01,SEC017,16:00,18:00,2,30.41,MEDIUM,0.67
2025-01-01,SEC017,18:00,20:00,4,33.58,MEDIUM,0.72
2025-01-01,SEC017,20:00,22:00,2,36.38,MEDIUM,0.81
2025-01-01,SEC017,22:00,00:00,5,52.07,HIGH,0.95
2025-01-01,SEC018,00:00,02:00,1,55.03,HIGH,0.81
2025-01-01,SEC018,02:00,04:00,2,43.8,MEDIUM,0.61
2025-01-01,SEC018,04:00,06:00,3,49.65,MEDIUM,0.64
2025-01-01,SEC018,06:00,08:00,2,46.89,MEDIUM,0.98
2025-01-01,SEC018,08:00,10:00,2,42.24,MEDIUM,0.84
2025-01-01,SEC018,10:00,12:00,4,21.04,LOW,0.93
2025-01-01,SEC018,12:00,14:00,2,34.47,MEDIUM,0.71
2025-01-01,SEC018,14:00,16:00,1,17.61,LOW,0.95
2025-01-01,SEC018,16:00,18:00,1,32.96,MEDIUM,0.73
2025-01-01,SEC018,18:00,20:00,0,40.43,MEDIUM,0.87
2025-01-01,SEC018,20:00,22:00,2,34.35,MEDIUM,0.68
2025-01-01,SEC018,22:00,00:00,5,46.56,MEDIUM,0.66
2025-01-01,SEC019,00:00,02:00,5,62.28,HIGH,0.66
2025-01-01,SEC019,02:00,04:00,8,61.45,HIGH,0.94
2025-01-01,SEC019,04:00,06:00,4,48.78,MEDIUM,0.92
2025-01-01,SEC019,06:00,08:00,4,52.6,HIGH,0.9
2025-01-01,SEC019,08:00,10:00,0,42.15,MEDIUM,0.92
2025-01-01,SEC019,10:00,12:00,2,26.83,MEDIUM,0.75
2025-01-01,SEC019,12:00,14:00,3,30.11,MEDIUM,0.87
2025-01-01,SEC019,14:00,16:00,1,26.78,MEDIUM,0.87
2025-01-01,SEC019,16:00,18:00,5,44.7,MEDIUM,0.7
2025-01-01,SEC019,18:00,20:00,3,49.3,MEDIUM,0.68
2025-01-01,SEC019,20:00,22:00,1,52.86,HIGH,0.69
2025-01-01,SEC019,22:00,00:00,3,66.05,HIGH,0.93
2025-01-01,SEC020,00:00,02:00,2,51.35,HIGH,0.81
2025-01-01,SEC020,02:00,04:00,4,39.25,MEDIUM,0.71
2025-01-01,SEC020,04:00,06:00,4,39.27,MEDIUM,0.61
2025-01-01,SEC020,06:00,08:00,2,33.59,MEDIUM,0.69
2025-01-01,SEC020,08:00,10:00,4,43.93,MEDIUM,0.74
2025-01-01,SEC020,10:00,12:00,0,33.23,MEDIUM,0.65
2025-01-01,SEC020,12:00,14:00,3,21.78,LOW,0.9
2025-01-01,SEC020,14:00,16:00,3,26.19,MEDIUM,0.93
2025-01-01,SEC020,16:00,18:00,2,33.51,MEDIUM,0.61
2025-01-01,SEC020,18:00,20:00,2,33.69,MEDIUM,0.63
2025-01-01,SEC020,20:00,22:00,3,38.64,MEDIUM,0.82
2025-01-01,SEC020,22:00,00:00,7,53.56,HIGH,0.92
2025-01-01,SEC021,00:00,02:00,3,45.2,MEDIUM,0.8
2025-01-01,SEC021,02:00,04:00,5,59.93,HIGH,0.89
2025-01-01,SEC021,04:00,06:00,8,60.27,HIGH,0.85
2025-01-01,SEC021,06:00,08:00,2,34.68,MEDIUM,0.69
2025-01-01,SEC021,08:00,10:00,2,35.21,MEDIUM,0.9
2025-01-01,SEC021,10:00,12:00,1,24.31,LOW,0.81
2025-01-01,SEC021,12:00,14:00,3,29.2,MEDIUM,0.74
2025-01-01,SEC021,14:00,16:00,3,27.91,MEDIUM,0.74
2025-01-01,SEC021,16:00,18:00,0,32.51,MEDIUM,0.85
2025-01-01,SEC021,18:00,20:00,1,35.48,MEDIUM,0.82
2025-01-01,SEC021,20:00,22:00,7,48.23,MEDIUM,0.89
2025-01-01,SEC021,22:00,00:00,8,50.29,HIGH,0.9
2025-01-01,SEC022,00:00,02:00,2,38.15,MEDIUM,0.92
2025-01-01,SEC022,02:00,04:00,2,50.93,HIGH,0.78
2025-01-01,SEC022,04:00,06:00,0,49.19,MEDIUM,0.69
2025-01-01,SEC022,06:00,08:00,4,40.85,MEDIUM,0.89
2025-01-01,SEC022,08:00,10:00,3,33.51,MEDIUM,0.92
2025-01-01,SEC022,10:00,12:00,4,24.77,LOW,0.98
2025-01-01,SEC022,12:00,14:00,3,30.56,MEDIUM,0.94
2025-01-01,SEC022,14:00,16:00,2,22.42,LOW,0.8
2025-01-01,SEC022,16:00,18:00,1,30.56,MEDIUM,0.9
2025-01-01,SEC022,18:00,20:00,2,31.8,MEDIUM,0.69
2025-01-01,SEC022,20:00,22:00,0,42.23,MEDIUM,0.83
2025-01-01,SEC022,22:00,00:00,7,37.28,MEDIUM,0.75
2025-01-01,SEC023,00:00,02:00,3,57.66,HIGH,0.9
2025-01-01,SEC023,02:00,04:00,5,57.33,HIGH,0.91
2025-01-01,SEC023,04:00,06:00,7,44.5,MEDIUM,0.97
2025-01-01,SEC023,06:00,08:00,3,33.08,MEDIUM,0.94
2025-01-01,SEC023,08:00,10:00,2,47.75,MEDIUM,0.98
2025-01-01,SEC023,10:00,12:00,1,31.43,MEDIUM,0.87
2025-01-01,SEC023,12:00,14:00,5,31.23,MEDIUM,0.83
2025-01-01,SEC023,14:00,16:00,3,33.46,MEDIUM,0.81
2025-01-01,SEC023,16:00,18:00,8,36.54,MEDIUM,0.95
2025-01-01,SEC023,18:00,20:00,2,42.48,MEDIUM,0.88
2025-01-01,SEC023,20:00,22:00,2,48.39,MEDIUM,0.72
2025-01-01,SEC023,22:00,00:00,5,56.64,HIGH,0.98
2025-01-01,SEC024,00:00,02:00,5,52.78,HIGH,0.97
2025-01-01,SEC024,02:00,04:00,4,42.18,MEDIUM,0.89
2025-01-01,SEC024,04:00,06:00,4,42.06,MEDIUM,0.7
2025-01-01,SEC024,06:00,08:00,2,28.68,MEDIUM,0.61
2025-01-01,SEC024,08:00,10:00,2,44.62,MEDIUM,0.71
2025-01-01,SEC024,10:00,12:00,2,30.68,MEDIUM,0.96
2025-01-01,SEC024,12:00,14:00,0,19.84,LOW,0.87
2025-01-01,SEC024,14:00,16:00,4,29.74,MEDIUM,0.96
2025-01-01,SEC024,16:00,18:00,1,30.9,MEDIUM,0.94
2025-01-01,SEC024,18:00,20:00,0,40.01,MEDIUM,0.86
2025-01-01,SEC024,20:00,22:00,4,28.78,MEDIUM,0.8
2025-01-01,SEC024,22:00,00:00,4,48.05,MEDIUM,0.73
2025-01-01,SEC025,00:00,02:00,4,49.53,MEDIUM,0.74
2025-01-01,SEC025,02:00,04:00,6,52.77,HIGH,0.8
2025-01-01,SEC025,04:00,06:00,6,48.92,MEDIUM,0.67
2025-01-01,SEC025,06:00,08:00,1,51.31,HIGH,0.78
2025-01-01,SEC025,08:00,10:00,5,51.78,HIGH,0.96
2025-01-01,SEC025,10:00,12:00,6,33.63,MEDIUM,0.64
2025-01-01,SEC025,12:00,14:00,0,31.45,MEDIUM,0.9
2025-01-01,SEC025,14:00,16:00,4,40.77,MEDIUM,0.82
2025-01-01,SEC025,16:00,18:00,3,52.47,HIGH,0.7
2025-01-01,SEC025,18:00,20:00,2,43.36,MEDIUM,0.87
2025-01-01,SEC025,20:00,22:00,4,37.4,MEDIUM,0.92
2025-01-01,SEC025,22:00,00:00,3,58.2,HIGH,0.85
2025-01-01,SEC026,00:00,02:00,4,72.49,HIGH,0.84
2025-01-01,SEC026,02:00,04:00,4,68.34,HIGH,0.81
2025-01-01,SEC026,04:00,06:00,4,53.26,HIGH,0.81
2025-01-01,SEC026,06:00,08:00,2,54.89,HIGH,0.76
2025-01-01,SEC026,08:00,10:00,1,47.01,MEDIUM,0.88
2025-01-01,SEC026,10:00,12:00,1,36.99,MEDIUM,0.8
2025-01-01,SEC026,12:00,14:00,2,40.72,MEDIUM,0.79
2025-01-01,SEC026,14:00,16:00,2,27.2,MEDIUM,0.83
2025-01-01,SEC026,16:00,18:00,3,50.51,HIGH,0.97
2025-01-01,SEC026,18:00,20:00,3,57.06,HIGH,0.63
2025-01-01,SEC026,20:00,22:00,5,55.3,HIGH,0.61
2025-01-01,SEC026,22:00,00:00,7,53.27,HIGH,0.95
2025-01-01,SEC027,00:00,02:00,1,47.51,MEDIUM,0.99
2025-01-01,SEC027,02:00,04:00,2,39.96,MEDIUM,0.86
2025-01-01,SEC027,04:00,06:00,4,45.91,MEDIUM,0.86
2025-01-01,SEC027,06:00,08:00,3,38.71,MEDIUM,0.78
2025-01-01,SEC027,08:00,10:00,5,28.8,MEDIUM,0.97
2025-01-01,SEC027,10:00,12:00,0,30.57,MEDIUM,0.94
2025-01-01,SEC027,12:00,14:00,1,30.99,MEDIUM,0.66
2025-01-01,SEC027,14:00,16:00,4,20.97,LOW,0.75
2025-01-01,SEC027,16:00,18:00,2,23.59,LOW,0.76
2025-01-01,SEC027,18:00,20:00,4,38.63,MEDIUM,0.76
2025-01-01,SEC027,20:00,22:00,4,37.88,MEDIUM,0.7
2025-01-01,SEC027,22:00,00:00,5,46.48,MEDIUM,0.93
2025-01-01,SEC028,00:00,02:00,5,58.87,HIGH,0.62
2025-01-01,SEC028,02:00,04:00,7,72.65,HIGH,0.69
2025-01-01,SEC028,04:00,06:00,5,60.68,HIGH,0.78
2025-01-01,SEC028,06:00,08:00,4,43.92,MEDIUM,0.79
2025-01-01,SEC028,08:00,10:00,1,45.8,MEDIUM,0.73
2025-01-01,SEC028,10:00,12:00,3,24.95,LOW,0.75
2025-01-01,SEC028,12:00,14:00,3,25.43,MEDIUM,0.93
2025-01-01,SEC028,14:00,16:00,1,37.98,MEDIUM,0.79
2025-01-01,SEC028,16:00,18:00,7,55.18,HIGH,0.8
2025-01-01,SEC028,18:00,20:00,2,42.34,MEDIUM,0.72
2025-01-01,SEC028,20:00,22:00,2,40.1,MEDIUM,0.74
2025-01-01,SEC028,22:00,00:00,5,72.76,HIGH,0.8
2025-01-01,SEC029,00:00,02:00,3,68.18,HIGH,0.74
2025-01-01,SEC029,02:00,04:00,7,63.16,HIGH,0.7
2025-01-01,SEC029,04:00,06:00,2,70.84,HIGH,0.84
2025-01-01,SEC029,06:00,08:00,3,50.18,HIGH,0.89
2025-01-01,SEC029,08:00,10:00,7,53.37,HIGH,0.78
2025-01-01,SEC029,10:00,12:00,4,34.9,MEDIUM,0.66
2025-01-01,SEC029,12:00,14:00,4,27.87,MEDIUM,0.68
2025-01-01,SEC029,14:00,16:00,2,40.72,MEDIUM,0.83
2025-01-01,SEC029,16:00,18:00,4,50.58,HIGH,0.92
2025-01-01,SEC029,18:00,20:00,7,50.85,HIGH,0.87
2025-01-01,SEC029,20:00,22:00,5,47.37,MEDIUM,0.91
2025-01-01,SEC029,22:00,00:00,1,66.13,HIGH,0.91
2025-01-01,SEC030,00:00,02:00,4,48.44,MEDIUM,0.73
2025-01-01,SEC030,02:00,04:00,3,49.52,MEDIUM,0.75
2025-01-01,SEC030,04:00,06:00,3,52.87,HIGH,0.81
2025-01-01,SEC030,06:00,08:00,4,33.83,MEDIUM,0.88
2025-01-01,SEC030,08:00,10:00,0,32.95,MEDIUM,0.71
2025-01-01,SEC030,10:00,12:00,2,24.93,LOW,0.6
2025-01-01,SEC030,12:00,14:00,4,23.48,LOW,0.7
2025-01-01,SEC030,14:00,16:00,2,19.3,LOW,0.86
2025-01-01,SEC030,16:00,18:00,1,34.6,MEDIUM,0.66
2025-01-01,SEC030,18:00,20:00,4,38.13,MEDIUM,0.78
2025-01-01,SEC030,20:00,22:00,2,40.48,MEDIUM,0.95
2025-01-01,SEC030,22:00,00:00,3,42.91,MEDIUM,0.91
2025-01-01,SEC031,00:00,02:00,5,53.38,HIGH,0.73
2025-01-01,SEC031,02:00,04:00,2,50.15,HIGH,0.82
2025-01-01,SEC031,04:00,06:00,4,55.66,HIGH,0.71
2025-01-01,SEC031,06:00,08:00,4,39.54,MEDIUM,0.71
2025-01-01,SEC031,08:00,10:00,1,30.77,MEDIUM,0.63
2025-01-01,SEC031,10:00,12:00,5,22.89,LOW,0.97
2025-01-01,SEC031,12:00,14:00,1,16.15,LOW,0.87
2025-01-01,SEC031,14:00,16:00,3,24.59,LOW,0.86
2025-01-01,SEC031,16:00,18:00,2,36.11,MEDIUM,0.83
2025-01-01,SEC031,18:00,20:00,3,30.52,MEDIUM,0.85
2025-01-01,SEC031,20:00,22:00,3,34.2,MEDIUM,0.67
2025-01-01,SEC031,22:00,00:00,3,40.62,MEDIUM,0.93
2025-01-01,SEC032,00:00,02:00,0,45.19,MEDIUM,0.86
2025-01-01,SEC032,02:00,04:00,4,48.85,MEDIUM,0.61
2025-01-01,SEC032,04:00,06:00,3,44.75,MEDIUM,0.93
2025-01-01,SEC032,06:00,08:00,3,38.16,MEDIUM,0.87
2025-01-01,SEC032,08:00,10:00,2,20.39,LOW,0.68
2025-01-01,SEC032,10:00,12:00,0,28.84,MEDIUM,0.96
2025-01-01,SEC032,12:00,14:00,2,24.89,LOW,0.88
2025-01-01,SEC032,14:00,16:00,0,26.89,MEDIUM,0.98
2025-01-01,SEC032,16:00,18:00,0,21.37,LOW,0.81
2025-01-01,SEC032,18:00,20:00,2,25.46,MEDIUM,0.8
2025-01-01,SEC032,20:00,22:00,1,31.2,MEDIUM,0.72
